"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"YWHAZ",0.426345969428643,0.376113490704152,0.476578448153134,13.5392202052067,9.17577851591363e-42,0.952039481020904,0.427540529565362,0.38630965235388,0.473160760930071,8,1228,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",7.23051347053994e-39
"YWHAG",0.433437600045952,0.38355506952281,0.483320130569095,13.0135194467477,1.02509887433067e-38,0.885530479753736,0.435878500770761,0.393135399336203,0.461712931955026,7,1030,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",4.03888956486285e-36
"PEA15",0.292901551477328,0.243704356985451,0.342098745969205,12.7278573175497,4.14046309021077e-37,0.895413671556285,0.294202766542578,0.279135816616325,0.314681250285554,7,980,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",1.08756163836203e-34
"YWHAE",0.345439425023188,0.295592136413442,0.395286713632935,12.4623443346622,1.19796449191161e-35,0.835330020090086,0.344594260673934,0.322462298687775,0.375444294685997,7,1014,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",2.35999004906588e-33
"MAPT",0.551183690401895,0.459401199298013,0.642966181505776,12.071226467296,1.4988363900023e-33,0.874327995829055,0.555880150662485,0.477000826981446,0.651077271293803,8,1164,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",2.36216615064363e-31
"UCHL1",0.441923194171124,0.379731279991915,0.504115108350333,12.015755943747,2.93671691950003e-33,0.77164268001933,0.44412598456602,0.416251168400879,0.469042565275502,7,946,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",3.85688822094337e-31
"PGAM1",0.208475010167966,0.171752186348091,0.24519783398784,11.8439764000123,2.31224265780503e-32,0.909695706272067,0.210450184425958,0.171929843907858,0.255027051725178,7,1019,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",2.60292459192909e-30
"MIF",0.300799625237388,0.249034490262918,0.352564760211857,11.6500894372833,2.2921812773857e-31,0.775191233201763,0.301231938746924,0.238028205537476,0.350694377687911,10,1659,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",4.88234612083153e-29
"SMOC1",0.330137621790924,0.278042529607188,0.382232713974661,11.3266869330595,9.67972146961936e-30,0.894175155661567,0.329998909001457,0.288217981317617,0.358315614964645,9,1244,"study_1_EOAD_vs_CN; study_10_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN",4,"study_1; study_11; study_4; study_7",9.53452564757507e-28
"DDAH1",0.216333343215083,0.178158345205228,0.254508341224938,11.2392870128468,2.61485651580305e-29,0.909769282717997,0.218239361040937,0.143690939847096,0.303453468254982,10,1626,"study_1_EOAD_vs_CN; study_11_EOAD_vs_CN; study_2_EOAD_vs_CN; study_3_Olink_EOAD_vs_CN; study_3_Soma_EOAD_vs_CN; study_4_EOAD_vs_CN; study_5_EOAD_vs_CN; study_7_EOAD_vs_CN; study_8_EOAD_vs_CN; study_9_EOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",2.78482218933025e-27
