"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"PODXL",-0.156632846892542,-0.213082412169774,-0.100183281615309,-5.56438694845983,2.63075611485278e-08,0.527574842289896,-0.154781247524477,-0.181834185909479,-0.116756588450356,7,902,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",3,"study_1; study_11; study_8",1.50216174158094e-05
"CKAP4",-0.378040576753952,-0.517845566182126,-0.238235587325778,-5.09940441178752,3.4072388153738e-07,0.348374876353147,NA,NA,NA,3,483,"study_3_Olink_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Olink; study_8",0.000357078627851174
"CX3CL1",-0.157019869170583,-0.227010880028906,-0.0870288583122595,-4.46343596783021,8.06557092462496e-06,0,-0.156031856025449,-0.175154598570331,-0.129198272158861,7,970,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",3,"study_1; study_11; study_8",0.00230272049898043
"ACVRL1",-0.224025525824982,-0.331163678214251,-0.116887373435712,-4.19487293781679,2.73024594263949e-05,0.332321793874134,NA,NA,NA,4,501,"study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Soma; study_8",0.0143064887394309
"PAM",-0.103627046772709,-0.154784788575708,-0.0524693049697091,-4.06532603635228,4.79653610691541e-05,0.477417333688122,-0.102906684022631,-0.123665673942627,-0.0606619650209711,11,1301,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.00776752885967854
"SCAMP3",-0.212994411015251,-0.32250877481378,-0.103480047216721,-4.03163983982176,5.5389023746579e-05,0.019727266852046,NA,NA,NA,3,483,"study_3_Olink_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",2,"study_3_Olink; study_8",0.0193492322954716
"YWHAB",0.0843365779118126,0.0464129918466801,0.122260163976945,4.02711798695463,5.64647021431399e-05,0.61561802219523,0.0844933186485884,0.0680886784658057,0.106924192459226,7,645,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.0359930456626511
"UBE2L3",0.0648849417325817,0.025587310803347,0.104182572661817,3.9376704552041,8.22764833416977e-05,0.59262170910119,0.0639526451659892,0.0391114920781468,0.0970456619366112,5,580,"study_1_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",3,"study_1; study_11; study_7",0.0156599573293698
"CHI3L1",0.0713297731982713,0.0254617776137394,0.117197768782803,3.92665708137631,8.61346472576174e-05,0,0.0709605266547096,0.0621433382135399,0.0790689430083939,11,1301,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Olink_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD; study_8_EOAD_vs_LOAD; study_9_EOAD_vs_LOAD",5,"study_1; study_11; study_4; study_7; study_8",0.00776752885967854
"APOE",-0.295561695116459,-0.426489575977409,-0.164633814255509,-3.8737634790945,0.000107167425660859,0.949547535900804,-0.291107239174181,-0.360033480868179,-0.201350349319855,8,818,"study_1_EOAD_vs_LOAD; study_10_EOAD_vs_LOAD; study_11_EOAD_vs_LOAD; study_2_EOAD_vs_LOAD; study_3_Soma_EOAD_vs_LOAD; study_4_EOAD_vs_LOAD; study_5_EOAD_vs_LOAD; study_7_EOAD_vs_LOAD",4,"study_1; study_11; study_4; study_7",0.0359930456626511
