"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"YWHAZ",0.414705616987748,0.375782668770259,0.453628565205237,17.4911778892698,1.67264139130201e-68,0.984332972706556,0.415019405186864,0.336748342135734,0.473401456928811,9,1512,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.27789802295473e-65
"YWHAG",0.394321307761468,0.356457147611866,0.43218546791107,16.5213777015282,2.57449384482168e-61,0.97894150370089,0.394213756275914,0.335549048872921,0.455729160726695,8,1314,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",9.83456648721882e-59
"UCHL1",0.424040896997109,0.37562225438427,0.472459539609947,15.8237630569507,2.13350843562891e-56,0.969555184188369,0.424707792287409,0.366456991789945,0.480418615295271,8,1214,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",5.4333348160683e-54
"YWHAE",0.327214808597098,0.287619148920757,0.366810468273439,14.9535269366641,1.47714180021337e-50,0.958213282099027,0.326712948692636,0.283953332619019,0.375001118886232,8,1285,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.82134083840754e-48
"FABP3",0.370795802998314,0.322000197398288,0.41959140859834,14.2506668219422,4.44021080259914e-46,0.961867059033244,0.371547482977784,0.319315075738064,0.417607841416112,8,1245,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",6.78464210637149e-44
"PEA15",0.283687724746452,0.243184793451856,0.324190656041048,14.2010787008814,9.02129866854559e-46,0.951616538251759,0.284277639068058,0.246727135108384,0.320265933852148,8,1229,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.14871203046147e-43
"MAPT",0.513120158258002,0.438957906749874,0.58728240976613,13.6741962657006,1.44798342831732e-42,0.972468590468972,0.513862339505636,0.443103148839837,0.590678279228509,9,1371,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.58037048462062e-40
"PGK1",0.184330173382652,0.158113192889443,0.210547153875862,13.5232378561184,1.14043704011098e-41,0.935061032716397,0.184542284244123,0.159997553610448,0.205161683935507,9,1489,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.08911737330598e-39
"SMOC1",0.279048634554561,0.239129848963048,0.318967420146073,13.2766461595248,3.16244145050208e-40,0.960463362609948,0.277651187646057,0.231904309028737,0.331324962004371,10,1528,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.68456140909287e-38
"PPIA",0.202287183289831,0.171074115287863,0.233500251291799,13.2102855821525,7.65335131653095e-40,0.956462121532419,0.202276846852228,0.170913939702549,0.227381412110671,9,1514,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",5.84716040582964e-38
"MIF",0.256534607953795,0.212287263020251,0.300781952887338,12.9434255918915,2.55956859841529e-38,0.885011995214227,0.256092880462466,0.229309596487358,0.279210555193018,11,2112,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Olink_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN; study_8_EOD_vs_CN; study_9_EOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",5.45188111462457e-36
"PGAM1",0.188527173922876,0.163375650567986,0.213678697277767,12.866712966804,6.92886162158582e-38,0.941745405121673,0.188728963998451,0.156110038122664,0.217063434707551,8,1291,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",4.81240934444688e-36
"GDI1",0.172403142945098,0.148934809391401,0.195871476498796,11.6915896637623,1.40727597319761e-31,0.961468827988384,0.171663529456749,0.146137095288063,0.204867819723032,8,1248,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",8.95965702935812e-30
"MDH1",0.206714590222066,0.170989321479385,0.242439858964748,11.5379011573208,8.49732889819619e-31,0.942949512789205,0.2062082897981,0.16777898699309,0.241071798102822,9,1513,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",4.99381482940145e-29
"YWHAB",0.211063084124752,0.180354247856654,0.24177192039285,11.0650642391944,1.85330035519407e-28,0.945353092230929,0.211860939608672,0.173184077119318,0.246365090387142,8,1268,"study_1_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.01137247954876e-26
"ALDOA",0.2088775538508,0.16960499800804,0.248150109693561,10.969301374719,5.36855904738191e-28,0.955920467895332,0.209686466546145,0.166464576550082,0.248681045182868,9,1515,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.73438607479985e-26
"NPTX2",-0.366268513081914,-0.440317402684274,-0.292219623479553,-10.8987462583771,1.168563129341e-27,0.975694762636278,-0.366583092667537,-0.414775378543529,-0.283915584171952,9,1512,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN; study_7_EOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",5.57988894260327e-26
"GPI",0.222520149887578,0.182249053041634,0.262791246733521,10.5419085643916,5.53637537386635e-26,0.944487983957095,0.223322603584321,0.181619141318787,0.259589624107059,8,1296,"study_1_EOD_vs_CN; study_10_EOD_vs_CN; study_11_EOD_vs_CN; study_2_EOD_vs_CN; study_3_Soma_EOD_vs_CN; study_4_EOD_vs_CN; study_5_EOD_vs_CN; study_6_EOD_vs_CN",4,"study_1; study_11; study_4; study_6",2.41385966300573e-23
