"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"SUMO3",0.321984587376756,0.238361880636726,0.405607294116786,6.25911549186919,3.87167076113519e-10,0.951657671583618,NA,NA,NA,4,203,"study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD",2,"study_2; study_4",3.00054483987977e-07
"PRKCSH",-0.0641242556499002,-0.0921121851385005,-0.0361363261612998,-5.01886809519766,5.19768218404522e-07,0.762922899272169,-0.0646557785940427,-0.0743854698704218,-0.0427137565556352,9,1038,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000391598115946342
"NKPD1",-0.160157500876888,-0.223732592184854,-0.096582409568923,-4.89070085018833,1.00477572147469e-06,0.896867508680961,NA,NA,NA,2,370,"study_1_EOD_vs_LOD; study_6_EOD_vs_LOD",2,"study_1; study_6",0.000389350592071441
"HSPA13",0.0778012215565979,0.0512243705955323,0.104378072517664,4.84055140741934,1.2947935534581e-06,0.917392674628441,0.078785702794974,0.0343265817165118,0.102507457874497,8,899,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000391598115946342
"VCAN",-0.0560433464487681,-0.0932815938089013,-0.0188050990886348,-4.81554150108254,1.4680124838002e-06,0.805365780919717,-0.0569342182766639,-0.070363184577896,-0.0427702591326053,11,1947,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",6,"study_1; study_11; study_4; study_6; study_7; study_8",0.000312686659049443
"CUTA",-0.0727781308890413,-0.107135930323291,-0.0384203314547918,-4.80627430003819,1.53768893696208e-06,0.92071458823536,-0.0734233042798198,-0.0940242176620181,-0.0258723663947601,9,1049,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000391598115946342
"DAG1",-0.0699388779903665,-0.110228217027094,-0.0296495389536393,-4.63128310614587,3.63406559895045e-06,0.908701866571455,-0.0684131105564984,-0.0814225213618749,-0.0414795980526764,12,1965,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Olink_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD; study_8_EOD_vs_LOD; study_9_EOD_vs_LOD",6,"study_1; study_11; study_4; study_6; study_7; study_8",0.000387027986288223
"IGHA1",0.274741341157268,0.171572486763309,0.377910195551228,4.62428225206118,3.75897726172529e-06,0.921760991903166,0.278198911584473,0.106219729976009,0.369169244429413,9,1051,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000590192542687698
"LAMB2",-0.0532004183553666,-0.0748994054230482,-0.0315014312876849,-4.58316617544959,4.57987785669314e-06,0.894748143892347,-0.0537636932932846,-0.0705669484824971,-0.0301406256548211,7,880,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000590192542687698
"EFCAB14",-0.0748230270146344,-0.108260745506787,-0.0413853085224816,-4.56396670896877,5.01960420040629e-06,0.849121933834341,-0.0750475533761718,-0.0891992877464195,-0.0459288343241107,8,901,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000590192542687698
"OLFML3",0.0595495150805727,0.0332646338190603,0.0858343963420851,4.53186174596633,5.84661113917335e-06,0.422684030071209,0.0597142812411657,0.0502595502819961,0.0688185299043957,8,901,"study_1_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_3_Soma_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000590192542687698
"AEBP1",0.0732438523165241,0.0385018377595993,0.107985866873449,4.52013480590536,6.18002662500207e-06,0.574025446143813,0.07360796206894,0.0512296597446138,0.0908920211457342,8,998,"study_1_EOD_vs_LOD; study_10_EOD_vs_LOD; study_11_EOD_vs_LOD; study_2_EOD_vs_LOD; study_4_EOD_vs_LOD; study_5_EOD_vs_LOD; study_6_EOD_vs_LOD; study_7_EOD_vs_LOD",5,"study_1; study_11; study_4; study_6; study_7",0.000590192542687698
