"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"YWHAZ",0.35564292888662,0.331714626965125,0.379571230808116,23.9527611832007,8.64786323727467e-127,0.973853439071585,0.355878004793812,0.33076935983098,0.38883143174605,8,1628,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",6.87505127363336e-124
"YWHAG",0.341552707913094,0.31665307585859,0.366452339967598,22.4665322746556,8.82161192601685e-112,0.94234416347203,0.343246854032954,0.315792394449505,0.367779875703251,7,1373,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",3.5065907405917e-109
"SMOC1",0.287037786265001,0.263221834142929,0.310853738387074,20.3024781158317,1.2226110955466e-91,0.976401178854939,0.287562673641766,0.21147423047944,0.342086576770282,9,1646,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",3.23991940319849e-89
"PEA15",0.252376698051378,0.227444225747712,0.277309170355043,19.7705795050883,5.33595357405814e-87,0.927074648978145,0.252598095673457,0.23178372758092,0.278941011053752,7,1307,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",1.06052077284406e-84
"MAPT",0.43043786620156,0.390781665591523,0.470094066811596,19.4224758122772,4.9828829790876e-84,0.949534002549152,0.435103699218741,0.350286024678421,0.53147280168873,8,1549,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",7.92278393674928e-82
"YWHAE",0.29930751198446,0.271372510346121,0.327242513622798,18.851113290035,2.8772310747802e-79,0.828542363354809,0.298460629885251,0.287336198878559,0.321218680197078,7,1352,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",3.81233117408377e-77
"FABP3",0.298170110911059,0.271606503681147,0.324733718140972,18.6251130643403,2.01067283726584e-77,0.944200409013001,0.297877816452564,0.238959644177829,0.335513603706545,7,1300,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",2.28354986518049e-75
"UCHL1",0.332255073058837,0.302509481433379,0.362000664684295,18.602392297121,3.07283887829991e-77,0.939034826823958,0.333394604143166,0.301859614207994,0.365127054945268,7,1276,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",3.05363363531054e-75
"MIF",0.293796023757774,0.259626891529053,0.327965155986496,17.4494311815183,3.47677771255701e-68,0.967360922464825,0.295989257808167,0.199144653784791,0.371308752019782,10,2048,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",7.44030430487199e-66
"LDHA",0.190959161604546,0.171280071707669,0.210638251501423,17.2735011975595,7.44833554055024e-67,0.964229470703404,0.192439270526735,0.12987675597011,0.248573074711349,8,1630,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",6.57936306081938e-65
"DDAH1",0.221159365471426,0.193822322481105,0.248496408461748,15.748951537402,6.98294585988113e-56,0.985969230444402,0.223650844186379,0.119695795447331,0.305927845201518,10,2004,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",5,"study_1; study_11; study_4; study_7; study_8",7.47175207007281e-54
"GDI1",0.161097028727578,0.142903005768396,0.17929105168676,15.6001403112218,7.26343097575199e-55,0.945245483812828,0.161336559410348,0.145674462283057,0.174756657588365,7,1280,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",5.77442762572284e-53
"ALDOA",0.177278107680363,0.154438766979714,0.200117448381013,15.5718847845473,1.13026990035923e-54,0.896875318482693,0.178004254076804,0.141337463457193,0.209373233171526,8,1631,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",8.16876882532353e-53
"ITGB2",0.358147420573953,0.315988195601238,0.400306645546669,15.4574588807716,6.71975786209512e-54,0.987444738929832,0.372092059387118,0.21134637561091,0.544336654161665,8,1711,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Olink_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_5_LOAD_vs_CN; study_8_LOAD_vs_CN; study_9_LOAD_vs_CN",3,"study_1; study_11; study_8",3.8571410128426e-51
"PGAM1",0.162408247244498,0.142385586145161,0.182430908343834,15.2357434001576,2.04784550626734e-52,0.845680336712351,0.162005182556708,0.142137843604051,0.174820595699493,7,1361,"study_1_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",1.35669764790211e-50
"PKM",0.177581194879834,0.154956409615304,0.200205980144364,15.0337298536589,4.41434198307848e-51,0.919576947008664,0.178832663823092,0.131881523759696,0.222651375451048,8,1631,"study_1_LOAD_vs_CN; study_10_LOAD_vs_CN; study_11_LOAD_vs_CN; study_2_LOAD_vs_CN; study_3_Soma_LOAD_vs_CN; study_4_LOAD_vs_CN; study_5_LOAD_vs_CN; study_7_LOAD_vs_CN",4,"study_1; study_11; study_4; study_7",2.69953990503645e-49
