"Protein","Weighted_Effect","CI_Lower","CI_Upper","Z_score","P_value","I_squared","LOO_Mean","LOO_CI_Lower","LOO_CI_Upper","N_Studies","Total_N","Studies","N_Unique_Studies","Unique_Study_Names","FDR_BH_Stratified"
"YWHAZ",0.365526999686529,0.341876139598924,0.389177859774133,24.8000123983534,8.96215140079588e-136,0.967927465868632,0.366344438298787,0.346109801994565,0.397368858713132,9,1729,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",6.89189442721204e-133
"YWHAG",0.349465647014305,0.32546516910568,0.37346612492293,23.4817376628632,6.26864184128845e-122,0.930169274732095,0.351089773508416,0.326666446105682,0.377542515508615,8,1474,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.41029278797541e-119
"PEA15",0.257633955919291,0.233692732320357,0.281575179518225,20.61740235646,1.91571916538828e-94,0.905387488127221,0.2582009767492,0.239029324069727,0.282694102232364,8,1399,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",4.91062679394529e-92
"SMOC1",0.272051470072147,0.248645845981404,0.295457094162891,19.9725334641417,9.54851907930184e-89,0.971707881135223,0.271302920058104,0.19824082598213,0.310308811526357,10,1747,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.83570279299578e-86
"UCHL1",0.348711329071922,0.320207186429691,0.377215471714154,19.8940555995698,4.58156583446444e-88,0.939539294776007,0.350761837354035,0.329979009764728,0.389299858666706,8,1373,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",7.04644825340631e-86
"FABP3",0.311356707177331,0.285520886317476,0.337192528037186,19.71500639588,1.60295932585432e-86,0.936371049935889,0.312147568214562,0.265449623509074,0.352974527553379,8,1401,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.05445953596995e-84
"MAPT",0.422183911773689,0.383833607233043,0.460534216314334,19.6986294944017,2.2153599968748e-86,0.935443521429645,0.424500700414708,0.345755364645071,0.505790775460124,9,1629,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.43373119656675e-84
"YWHAE",0.297470884468171,0.268665180246372,0.326276588689971,18.93986121312,5.35380436528566e-80,0.774117392351158,0.296802177147241,0.286338573222431,0.317186878957426,8,1453,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",5.14634444613084e-78
"LDHA",0.18870445108458,0.168013689613856,0.209395212555303,17.2493652044442,1.1313553734318e-66,0.952461113394623,0.189459216608946,0.133287200821566,0.23767069532215,9,1731,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",9.66680313521172e-65
"MIF",0.254913451654127,0.21745527456813,0.292371628740125,16.6862390100377,1.65045998200126e-62,0.91718687346156,0.254789735036362,0.205529647596307,0.300157682255771,11,2411,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN; study_8_LOD_vs_CN; study_9_LOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",3.5319843614827e-60
"PGAM1",0.167671901166597,0.148132890006958,0.187210912326235,15.9674606831484,2.15377306464034e-57,0.821253077550154,0.16777087975639,0.151981585143718,0.179769765811603,8,1462,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.65625148670842e-55
"GDI1",0.156776344829774,0.139373723090546,0.174178966569003,15.8948547824598,6.87876777569688e-57,0.927753505179124,0.156558087479558,0.14113731012919,0.168215148303704,8,1381,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",4.80888401773718e-55
"ALDOA",0.173113688705498,0.150472018313757,0.195755359097238,15.5590861517101,1.38055967763775e-54,0.867267129715158,0.173272780806828,0.139278435912515,0.198514828560706,9,1732,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",8.84708660086191e-53
"PKM",0.180219006743141,0.157647538719437,0.202790474766844,15.3929589200683,1.82492599468826e-53,0.893130580348596,0.18116881811742,0.140629203386386,0.221364403080675,9,1732,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.07951391531944e-51
"ENO1",0.175372123056451,0.154550548554741,0.196193697558162,15.3768510352845,2.34057362811442e-53,0.801108097685297,0.175724281180206,0.164770680218278,0.187552533526915,9,1636,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.28564365715714e-51
"ITGB2",0.294806859832398,0.252257512187397,0.337356207477399,14.6147147702962,2.26300149091796e-48,0.962791651324328,0.295631149643165,0.216760470118485,0.393232876416186,9,2070,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_8_LOD_vs_CN; study_9_LOD_vs_CN",4,"study_1; study_11; study_6; study_8",9.91194653022066e-46
"PARK7",0.228401221157749,0.191343219827205,0.265459222488293,14.5779581260148,3.87947362464309e-48,0.966171113929013,0.227145687719134,0.134386176801943,0.277041183934894,12,2659,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN; study_8_LOD_vs_CN; study_9_LOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",4.15103677836811e-46
"MDH1",0.172132750050287,0.149976198372712,0.194289301727862,14.5702411379505,4.34355119590761e-48,0.923189240845605,0.172611556990326,0.124273700972934,0.211376399568242,9,1730,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",2.22679391310197e-46
"PGK1",0.171014996440511,0.149041248758022,0.192988744123001,14.5397354026965,6.78544204225711e-48,0.807984896963688,0.171523658750072,0.161753385130186,0.181280770868913,9,1705,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",3.26125308155983e-46
"GPI",0.208038562119394,0.181726307380692,0.234350816858097,14.0771142060737,5.25106603536133e-45,0.783525417768696,0.211510338067737,0.197051472430046,0.249277566243798,8,1431,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN",4,"study_1; study_11; study_4; study_6",1.14998346174413e-42
"DDAH1",0.164608395334796,0.134447564600991,0.194769226068601,13.9549772995569,2.93395128990933e-44,0.953004833935176,0.164475776600513,0.121607953731332,0.207110057758183,11,2367,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN; study_8_LOD_vs_CN; study_9_LOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",2.09288525346866e-42
"PDXP",0.24565570165919,0.212892532713022,0.278418870605358,13.4724302405605,2.27260835164404e-41,0.914402963384107,0.248734308461984,0.174068630877346,0.32569458554675,7,1229,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",4,"study_1; study_11; study_6; study_7",3.3180081934003e-39
"CALM1",0.15378952530073,0.130398776981812,0.177180273619648,13.2680054274894,3.54901746398174e-40,0.783556098907768,0.154046169222587,0.129113344818851,0.17471379823828,6,1523,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_4_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.6054084881188e-38
"PPP3CA",0.217823723468342,0.183595667641289,0.252051779295395,12.7260099572073,4.23957185203475e-37,0.909389406001994,0.22146466794055,0.151334101134147,0.292933060966867,7,1116,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",4,"study_1; study_11; study_6; study_7",4.64233117797805e-35
"PEBP1",0.152747548371173,0.124284403651982,0.181210693090364,12.7052581961611,5.52866559935198e-37,0.898488333591612,0.152516301889793,0.105474344031331,0.185838740530927,12,2660,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Olink_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN; study_8_LOD_vs_CN; study_9_LOD_vs_CN",6,"study_1; study_11; study_4; study_6; study_7; study_8",2.95783609565331e-35
"CRYM",0.17982092648788,0.152749151161247,0.206892701814514,12.662912644397,9.4911453393804e-37,0.944127958300928,0.180463156111957,0.103822552876074,0.242687749705585,7,1328,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",4.05482820332418e-35
"FKBP1A",0.168525665671014,0.143102658799071,0.193948672542957,12.5835072974289,2.60215104537025e-36,0.834543719530574,0.168950964111353,0.145972995062744,0.186533808620521,6,1236,"study_1_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_7_LOD_vs_CN",4,"study_1; study_11; study_4; study_7",2.27948431574434e-34
"PPIA",0.154207535419644,0.130800739097588,0.1776143317417,12.5512442972319,3.91312134994237e-36,0.887815828099519,0.154351154739335,0.14162029455771,0.167255617877348,9,1731,"study_1_LOD_vs_CN; study_10_LOD_vs_CN; study_11_LOD_vs_CN; study_2_LOD_vs_CN; study_3_Soma_LOD_vs_CN; study_4_LOD_vs_CN; study_5_LOD_vs_CN; study_6_LOD_vs_CN; study_7_LOD_vs_CN",5,"study_1; study_11; study_4; study_6; study_7",1.58378437795036e-34
