"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.22057981002305,0.038648795157356,32.573137852789,3.28958224857199e-08,1.22419453679e-06,"LOAD_vs_CN",250,"study_10"
"MT3",0.122234312422397,0.0552069249507358,4.90229174046549,0.0278059975403567,0.150179921725183,"LOAD_vs_CN",249,"study_10"
"NFASC",-0.0276078206036589,0.0223374439119133,1.52755655586331,0.217681330110461,0.464803167981764,"LOAD_vs_CN",250,"study_10"
"ALDOA",0.274499921404333,0.0284329651589942,93.2052000940935,7.08866254686367e-19,9.23298296728993e-17,"LOAD_vs_CN",250,"study_10"
"LSAMP",0.0726595391517073,0.0316532913237329,5.26923451970306,0.0226095827546492,0.136972007153166,"LOAD_vs_CN",250,"study_10"
"PARK7",0.136409475337811,0.0361614211098547,14.2297771279457,0.000203657265702622,0.00471860609864929,"LOAD_vs_CN",249,"study_10"
"YWHAZ",0.486629124382165,0.0431280697713236,127.313996812548,1.21563741925585e-23,6.33347095432299e-21,"LOAD_vs_CN",249,"study_10"
"CXCL16",-0.0431991388730549,0.0458602102116246,0.887315559722632,0.347138631236736,0.594931667349802,"LOAD_vs_CN",249,"study_10"
"CST7",-0.120693752407767,0.0470257522499337,6.58715794154202,0.0109286608159676,0.0875974197710632,"LOAD_vs_CN",250,"study_10"
"SELENBP1",-0.0501098313046283,0.042139358733037,1.41406716094824,0.235643899335241,0.485258780844508,"LOAD_vs_CN",249,"study_10"
"PROCR",-0.100211528643433,0.112396746959331,0.794928175185646,0.373995405097139,0.606243087514284,"LOAD_vs_CN",188,"study_10"
"NCAN",0.0163292868685027,0.0537287697955652,0.0923678093344443,0.761450066709242,0.88630725271147,"LOAD_vs_CN",250,"study_10"
"NICOL1",0.0626360617553521,0.0493352060744562,1.61188848968355,0.205527821631787,0.448890007053566,"LOAD_vs_CN",242,"study_10"
"DPP7",-0.100736794257316,0.0776515802259726,1.68296721632254,0.195984017325776,0.441619081588352,"LOAD_vs_CN",246,"study_10"
"ICOSLG",0.0338734440347121,0.0477616291948712,0.502991267400801,0.47886967225018,0.681206772271414,"LOAD_vs_CN",249,"study_10"
"PAPLN",0.146152362182713,0.0690212042536024,4.48380392917918,0.0353170533450452,0.162194679723787,"LOAD_vs_CN",247,"study_10"
"FOLR2",-0.0108568091286666,0.0609429916341209,0.031736341904744,0.858783074852869,0.938786735522542,"LOAD_vs_CN",218,"study_10"
"GC",-0.096633405155604,0.169108846316272,0.326529116602377,0.56833983707476,0.761195514436889,"LOAD_vs_CN",250,"study_10"
"HBA1",-0.484965727233142,0.297057522578001,2.66526862085791,0.103887253342272,0.312790961760123,"LOAD_vs_CN",250,"study_10"
"IGLV3-19",-0.174581286146429,0.0907294401424919,3.70253280589101,0.0559304268286909,0.2142628851305,"LOAD_vs_CN",192,"study_10"
"FBLN5",-0.0267247342360021,0.0379225628117526,0.496628262923981,0.481692739589089,0.681206772271414,"LOAD_vs_CN",249,"study_10"
"LAMP2",0.0642129208636122,0.0479461042814643,1.79365205368366,0.181713516424036,0.434278633288638,"LOAD_vs_CN",249,"study_10"
"NUCB2",-0.0765108259700152,0.0908077142872074,0.709905093732115,0.400725511923617,0.622753941545223,"LOAD_vs_CN",163,"study_10"
"PDGFB",0.131962740613329,0.087517747389102,2.27358078988513,0.133591250003164,0.355107353324736,"LOAD_vs_CN",184,"study_10"
"ITIH2",-0.121263978524866,0.0612485236718716,3.91987642203851,0.048884999637233,0.19591603700768,"LOAD_vs_CN",250,"study_10"
"CSF1R",-0.0529111032987099,0.056086211003565,0.889982428083515,0.346513164193981,0.594931667349802,"LOAD_vs_CN",249,"study_10"
"PGLYRP2",-0.00491969208498759,0.0764936497513952,0.00413642427179667,0.948780093790634,0.969715675221363,"LOAD_vs_CN",215,"study_10"
"IGHM",-0.150560021555393,0.138361930326047,1.1840938128128,0.27778640008834,0.532619752895366,"LOAD_vs_CN",249,"study_10"
"LAMA2",-0.232971405632716,0.0806258510212703,8.34942593442411,0.00432396053275274,0.0459751721951873,"LOAD_vs_CN",189,"study_10"
"COL23A1",-0.00685255892200357,0.0817485035862674,0.00702661136569454,0.933315740026201,0.969715675221363,"LOAD_vs_CN",151,"study_10"
"APLP2",0.085312400507232,0.0480070701906827,3.15801304601612,0.0768891324407207,0.262742321771672,"LOAD_vs_CN",250,"study_10"
"AGA",-0.10219253308013,0.0482551735833956,4.4848772826033,0.0353233336233872,0.162194679723787,"LOAD_vs_CN",249,"study_10"
"IGHV3OR16-12",-0.113816217420521,0.0913221401238921,1.55330283570818,0.214170387224112,0.461038787162005,"LOAD_vs_CN",210,"study_10"
"CFI",-0.122713730688924,0.0424462415971826,8.3581052501066,0.00421496947649695,0.0459751721951873,"LOAD_vs_CN",250,"study_10"
"CD44",0.0876443883120666,0.0278306200337377,9.91750583494616,0.00184808907065564,0.0246885745079895,"LOAD_vs_CN",250,"study_10"
"IGSF8",0.0115902131820884,0.0313968726440328,0.136273078042993,0.712330839012898,0.857100155024758,"LOAD_vs_CN",250,"study_10"
"CNTNAP4",0.0251791839931507,0.0456740943455556,0.303908896401671,0.581996752390258,0.775499508939449,"LOAD_vs_CN",249,"study_10"
"C1QC",0.00561165944247904,0.0323685821469381,0.030056282312696,0.862510649700401,0.939129141630185,"LOAD_vs_CN",249,"study_10"
"C1R",-0.032040892060498,0.0241370634105601,1.76213969743416,0.185650305908227,0.441619081588352,"LOAD_vs_CN",250,"study_10"
"CPN2",-0.0311192194300244,0.0867899610875296,0.128563711808397,0.720240374241392,0.862935226420049,"LOAD_vs_CN",250,"study_10"
"AMBP",-0.112406404978205,0.0554311483205879,4.11220129344787,0.0437259662425604,0.180803400098206,"LOAD_vs_CN",250,"study_10"
"C5",-0.0950740410824912,0.056516427230038,2.82992228192094,0.093900450082281,0.287777261722755,"LOAD_vs_CN",250,"study_10"
"HEXA",-0.021967400685929,0.0423374283717223,0.269220665514645,0.604343960372614,0.793106305677914,"LOAD_vs_CN",249,"study_10"
"DBI",0.0737790201722968,0.043575284665338,2.86672016051532,0.0919214310171239,0.285065866428104,"LOAD_vs_CN",249,"study_10"
"C1QA",-0.0099412038963958,0.0328059954458491,0.0918272381038365,0.76212216739873,0.88630725271147,"LOAD_vs_CN",249,"study_10"
"NRXN3",0.00813077608206194,0.0611215616325187,0.0176960003564322,0.894281503997296,0.948921921756805,"LOAD_vs_CN",250,"study_10"
"IGHV3-30",-0.071081983318254,0.0991623504563984,0.51383708959064,0.474379929864483,0.678988855657681,"LOAD_vs_CN",216,"study_10"
"C6",-0.0805807806706954,0.066925816927921,1.44969145454665,0.229779288674103,0.478273140721313,"LOAD_vs_CN",250,"study_10"
"CLEC3B",0.00980146385284987,0.0289210376251657,0.114856120837225,0.734990154590109,0.876046193869037,"LOAD_vs_CN",250,"study_10"
"SPARCL1",0.0350237738581996,0.0360607113382862,0.943316218402188,0.332485750489822,0.579348080284941,"LOAD_vs_CN",250,"study_10"
"GAP43",0.556410416270833,0.0904945952746071,37.8046497761643,3.64103140411786e-09,1.58081446795451e-07,"LOAD_vs_CN",246,"study_10"
"MT1X",0.249248329725417,0.13317694708188,3.50272791390584,0.0629735708238089,0.237748046371047,"LOAD_vs_CN",175,"study_10"
"MCAM",-0.0873291956529952,0.0346835058885961,6.33976177775833,0.0124443430793434,0.0932355106220744,"LOAD_vs_CN",250,"study_10"
"SCG2",-0.098371725961165,0.0372620624284445,6.96958315908456,0.00886141228721305,0.074781440072701,"LOAD_vs_CN",249,"study_10"
"LMAN1",0.0477438839349754,0.0945105913959744,0.255196391938393,0.614161321213632,0.8039649456088,"LOAD_vs_CN",157,"study_10"
"HBD",-0.61003441758193,0.245909304694478,6.15401786560263,0.0138145045760097,0.0985939299191925,"LOAD_vs_CN",250,"study_10"
"ADGRB2",-0.122186295607092,0.106031027018939,1.32794185790716,0.250673156807663,0.50231044114151,"LOAD_vs_CN",201,"study_10"
"FCGR2C",-0.0567790819580307,0.113879907524567,0.248589351246373,0.618732206936571,0.805898699534884,"LOAD_vs_CN",202,"study_10"
"LTBP4",-0.0176316133666667,0.0994859568848898,0.0314094654153505,0.859503402772078,0.938786735522542,"LOAD_vs_CN",209,"study_10"
"IGHG3",-0.142337189455452,0.0848239600844937,2.81578625221903,0.094832644281556,0.288934547781817,"LOAD_vs_CN",250,"study_10"
"PON1",-0.149261208167624,0.0722066940789305,4.27305991084595,0.0397951612994552,0.169944910139477,"LOAD_vs_CN",250,"study_10"
"AXL",-0.00760000039935731,0.0716743666947596,0.0112434476378491,0.915647468204909,0.962629712854123,"LOAD_vs_CN",245,"study_10"
"CADM1",-0.0202549703394733,0.0278888536774213,0.527475018066624,0.468420905489328,0.672306588870358,"LOAD_vs_CN",249,"study_10"
"APOD",-0.0542273916582128,0.0333795701878628,2.63922216753481,0.105638162480504,0.312790961760123,"LOAD_vs_CN",250,"study_10"
"SPON1",0.126674034348517,0.0367540213465793,11.8786060168631,0.000686656048093862,0.0115402516469968,"LOAD_vs_CN",249,"study_10"
"MGAT1",-0.0507848817802817,0.0899365872333606,0.318857094462937,0.573318234401298,0.76589435928994,"LOAD_vs_CN",126,"study_10"
"SERPINF2",-0.141988762347005,0.0484506250684932,8.58833900074536,0.00372215020560118,0.0440736422072322,"LOAD_vs_CN",250,"study_10"
"CP",-0.114980298156132,0.0667796434315708,2.96454924769252,0.0864708329234348,0.27982176368391,"LOAD_vs_CN",250,"study_10"
"PCSK1",-0.0911942230394999,0.0745213583526599,1.49752172022599,0.222406162281658,0.472681867153853,"LOAD_vs_CN",249,"study_10"
"CPB2",-0.00517250916510464,0.0782222018766714,0.00437262732328231,0.947364677403571,0.969715675221363,"LOAD_vs_CN",163,"study_10"
"SPARC",-0.121353965624926,0.0384638620660049,9.95410387653502,0.00180732316669203,0.0246885745079895,"LOAD_vs_CN",250,"study_10"
"LYVE1",-0.028055697073148,0.0303891503749365,0.852324575804905,0.356881874878835,0.59646983192924,"LOAD_vs_CN",249,"study_10"
"IGKC",-0.0752024070861898,0.0712774503311936,1.11316404750492,0.292558732278718,0.541060153287113,"LOAD_vs_CN",250,"study_10"
"IGHG4",-0.156170657725447,0.182005803483627,0.736255252804928,0.391845990220847,0.622753941545223,"LOAD_vs_CN",250,"study_10"
"CNDP1",0.0345084553668846,0.0491046606538508,0.493862001647779,0.482918069658965,0.681206772271414,"LOAD_vs_CN",250,"study_10"
"EFNB2",-0.0907064835305322,0.0848511987099258,1.14277491157675,0.286458043127365,0.541060153287113,"LOAD_vs_CN",190,"study_10"
"PRRT2",0.204420251549257,0.13317914899344,2.35600043252454,0.126971248932538,0.346345658082996,"LOAD_vs_CN",148,"study_10"
"RNASET2",0.00183536434153481,0.0461347385921602,0.00158266300637478,0.968301907803516,0.983402132486612,"LOAD_vs_CN",249,"study_10"
"PNOC",0.0284959995753086,0.106010852282655,0.0722548725225013,0.788376809204535,0.902734763946292,"LOAD_vs_CN",196,"study_10"
"PLTP",-0.0657268440827554,0.0299342385051294,4.82113319922182,0.0290404242471441,0.150179921725183,"LOAD_vs_CN",250,"study_10"
"ATRN",-0.10529061863906,0.0499648697420496,4.44068365168344,0.0360971235454575,0.163535664062464,"LOAD_vs_CN",250,"study_10"
"LGALS1",0.0274492070823529,0.0705688017243989,0.15129832537015,0.697766709092087,0.851872835576197,"LOAD_vs_CN",210,"study_10"
"OMG",0.0216744641184862,0.0414966251066906,0.272816845474901,0.601984733135118,0.792005166574234,"LOAD_vs_CN",250,"study_10"
"IGLL5",-0.0740915637423552,0.0789804398506049,0.880031921633325,0.349222308888488,0.595146173656942,"LOAD_vs_CN",250,"study_10"
"FAT2",0.0531297653361556,0.0675540070600932,0.618548225932187,0.432411508400319,0.645519758958643,"LOAD_vs_CN",233,"study_10"
"AHSG",-0.120965233375206,0.0563629464624847,4.60610419948579,0.0328770193219935,0.162194679723787,"LOAD_vs_CN",250,"study_10"
"IGFBP6",-0.0645885415407833,0.0383041927684075,2.84327146963119,0.0932064208707594,0.287340504577903,"LOAD_vs_CN",250,"study_10"
"CFHR2",-0.0454341510948457,0.0739001045287216,0.377985143600453,0.539373131507618,0.737502833476363,"LOAD_vs_CN",236,"study_10"
"IGHV3-72",-0.306904763167128,0.102183127880017,9.02087930923777,0.00330715000141099,0.0400703523426773,"LOAD_vs_CN",138,"study_10"
"NPPC",0.0196291285716121,0.0646186898803335,0.0922753587058252,0.761686497748262,0.88630725271147,"LOAD_vs_CN",187,"study_10"
"CPE",0.00966569475496992,0.0348043698808662,0.0771256080352767,0.781499165576619,0.898810298599159,"LOAD_vs_CN",250,"study_10"
"HSPA8",-0.069069917140845,0.0606362173564142,1.29751882615972,0.255819651910294,0.508710071165127,"LOAD_vs_CN",240,"study_10"
"C4BPA",-0.123165317254184,0.104238856596741,1.39610339073712,0.238649906982269,0.487594515834362,"LOAD_vs_CN",226,"study_10"
"VTN",-0.138374651354072,0.0591220202304997,5.47790565083899,0.0201196544460907,0.127833414224552,"LOAD_vs_CN",250,"study_10"
"SEMA6A",0.0194568162435474,0.0576171997686433,0.114035286928605,0.735903955273375,0.876046193869037,"LOAD_vs_CN",234,"study_10"
"WFDC1",-0.0836936243413249,0.0395753230984516,4.47235029639159,0.0354898147572202,0.162194679723787,"LOAD_vs_CN",250,"study_10"
"NPTX1",-0.0411282201418004,0.0380983760574304,1.16537823383493,0.281478856334316,0.537181260623364,"LOAD_vs_CN",250,"study_10"
"PTN",0.00193652893929577,0.0596886110141383,0.00105260405165461,0.974149168016038,0.985498478711371,"LOAD_vs_CN",242,"study_10"
"DCN",-0.0773577944447708,0.0732209194744224,1.11618916278813,0.29205478514929,0.541060153287113,"LOAD_vs_CN",202,"study_10"
"MEGF10",0.120579307381434,0.0443899788476045,7.3786293269427,0.00711641442298914,0.0662080698995954,"LOAD_vs_CN",249,"study_10"
"PSAP",0.0174806234088237,0.0376648859405485,0.215397431512335,0.643015006749686,0.823131374629457,"LOAD_vs_CN",250,"study_10"
"IGLV3-21",-0.0959814243860379,0.082622583952969,1.34951226268654,0.246539790232616,0.495935253711169,"LOAD_vs_CN",250,"study_10"
"GGH",-0.0569492566695067,0.0488668781758899,1.35814747006784,0.245049667586473,0.494848359738575,"LOAD_vs_CN",250,"study_10"
"F10",-0.0991191995314363,0.0549509525757925,3.25360720811126,0.0726332892302725,0.259097854610489,"LOAD_vs_CN",248,"study_10"
"KRT2",0.0901420016670622,0.190913057467264,0.2229375014459,0.63741513892257,0.819983425626319,"LOAD_vs_CN",175,"study_10"
"GALNT2",0.0404417731349221,0.0569853638478566,0.503655668401927,0.478733768237453,0.681206772271414,"LOAD_vs_CN",207,"study_10"
"NTNG1",0.0249825911429719,0.0746314072303055,0.112055118634361,0.738165602895408,0.876046193869037,"LOAD_vs_CN",203,"study_10"
"CD55",0.0294484311052002,0.0383318679331181,0.590207002899544,0.443078500819836,0.655806531042995,"LOAD_vs_CN",249,"study_10"
"CD99L2",-0.0258607106044444,0.0531122788212187,0.237077881374299,0.626834242008802,0.814415561313182,"LOAD_vs_CN",215,"study_10"
"IGHA1",-0.114957036226471,0.10503764429919,1.19779134487835,0.274976668619814,0.532619752895366,"LOAD_vs_CN",250,"study_10"
"ACYP2",-0.0938417912190962,0.103280197437514,0.825578660322456,0.36557892834216,0.597932028602601,"LOAD_vs_CN",135,"study_10"
"EFEMP2",0.102961101554541,0.0981354895811701,1.10076388865442,0.295973404389303,0.541060153287113,"LOAD_vs_CN",137,"study_10"
"CHI3L1",0.335568052778284,0.0464398259746387,52.2131684600305,6.63705408221776e-12,5.09092490063649e-10,"LOAD_vs_CN",250,"study_10"
"FAM3C",0.0367836217898657,0.0372620727028529,0.974484553017667,0.324583352528616,0.573247209042064,"LOAD_vs_CN",249,"study_10"
"IGKV1-5",-0.092114102001995,0.0997332358286086,0.853045950142968,0.356670226658222,0.59646983192924,"LOAD_vs_CN",249,"study_10"
"CRTAC1",0.0708708245206144,0.0333455336811251,4.5170991754245,0.0347290467203286,0.162194679723787,"LOAD_vs_CN",249,"study_10"
"IL6ST",0.0202945425605134,0.0336538975600239,0.36365352078787,0.547041400283907,0.738364169813253,"LOAD_vs_CN",249,"study_10"
