"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.100134973693285,0.0685472905622183,2.13398316777333,0.159225406637028,0.530327069982999,"EOAD_vs_CN",398,"study_11"
"NFASC",-0.0833446116412998,0.0360182112873684,5.3543995040643,0.0304281460144087,0.259373713612477,"EOAD_vs_CN",398,"study_11"
"ALDOA",0.147356012381099,0.0504550173759829,8.52956731304287,0.00834716108850945,0.145649954432762,"EOAD_vs_CN",398,"study_11"
"LSAMP",-0.0595105418957586,0.0433265845193937,1.88659596328975,0.183986489934598,0.558629974625873,"EOAD_vs_CN",398,"study_11"
"PARK7",0.094431193625616,0.0654335644359014,2.08271478971941,0.164755206120206,0.534481456074998,"EOAD_vs_CN",398,"study_11"
"YWHAZ",0.381263561480627,0.0486519744965512,61.4114935904798,1.17660087914115e-07,9.69519124412308e-05,"EOAD_vs_CN",398,"study_11"
"CXCL16",0.0512322084667073,0.0297962194985993,2.95640429809673,0.10005339963395,0.435495032948746,"EOAD_vs_CN",398,"study_11"
"SELENBP1",-0.119023391446628,0.0444846977680739,7.15885149111099,0.0140870829917658,0.1885289188243,"EOAD_vs_CN",398,"study_11"
"PROCR",-0.0685811305959843,0.0556057586053904,1.52114194063873,0.231255552031135,0.614858545593406,"EOAD_vs_CN",398,"study_11"
"NCAN",-0.0694181986566986,0.0603930219078358,1.32121397153406,0.26339987712929,0.655425701676896,"EOAD_vs_CN",398,"study_11"
"NICOL1",-0.186384812965853,0.0640464200282981,8.46898426576191,0.0085274313790998,0.146929615248434,"EOAD_vs_CN",398,"study_11"
"DPP7",0.0535293646923585,0.0677758335614737,0.623784304421153,0.438281887773652,0.796641784247403,"EOAD_vs_CN",398,"study_11"
"ICOSLG",-0.133160876234281,0.0584769044286112,5.18542717824972,0.0334908848524899,0.273424972784547,"EOAD_vs_CN",398,"study_11"
"PAPLN",0.0278275165940615,0.0380215545112952,0.535659933125202,0.472606943902406,0.816982073655068,"EOAD_vs_CN",398,"study_11"
"FOLR2",-0.0334452575815538,0.0416115880936244,0.646011885691617,0.430395666349644,0.792874232601788,"EOAD_vs_CN",398,"study_11"
"GC",0.0294281284594116,0.0745662376503001,0.155754579608622,0.697011296427254,0.909241121249695,"EOAD_vs_CN",398,"study_11"
"HBA1",-0.353683509826141,0.392083843122636,0.813713892264218,0.377295499336122,0.755099579431769,"EOAD_vs_CN",398,"study_11"
"IGLV3-19",-0.0119576220607361,0.0816997493464347,0.0214214170868125,0.884895162902623,0.962388372899407,"EOAD_vs_CN",398,"study_11"
"FBLN5",0.0111307137893564,0.0304920705130561,0.133251528808254,0.718589786062337,0.916591306060938,"EOAD_vs_CN",398,"study_11"
"LAMP2",-0.0677647664850745,0.0421775750007492,2.58133683952816,0.121142050744987,0.474069019596649,"EOAD_vs_CN",398,"study_11"
"NUCB2",0.0302264535927094,0.0467781450520452,0.417530685125722,0.525091077646922,0.84561898628221,"EOAD_vs_CN",398,"study_11"
"PDGFB",-0.12449570347282,0.0327265411725277,14.4713321518291,0.00104399879572142,0.0516153004604669,"EOAD_vs_CN",398,"study_11"
"ITIH2",-0.00720342656553258,0.0847474830770087,0.00722478035712578,0.933016240426603,0.980619109836124,"EOAD_vs_CN",398,"study_11"
"CSF1R",0.00432931955793311,0.0383863179195519,0.0127199784346054,0.911239653432138,0.971677779483227,"EOAD_vs_CN",398,"study_11"
"PGLYRP2",0.0542591251649149,0.0711199280864143,0.58205356934835,0.453819269017302,0.810152738904297,"EOAD_vs_CN",398,"study_11"
"IGHM",0.0528929027411662,0.201622199678001,0.0688205447677479,0.79564788862746,0.945501353491768,"EOAD_vs_CN",398,"study_11"
"LAMA2",0.0087832775489836,0.0275134239503743,0.101911673374176,0.75275978254097,0.931342433654293,"EOAD_vs_CN",398,"study_11"
"APLP2",-0.0473743633306902,0.0508205253563773,0.868977381633878,0.361760488700524,0.74398558258997,"EOAD_vs_CN",398,"study_11"
"AGA",-0.0236172399983881,0.0447570170953815,0.27844281563214,0.603201175199258,0.874465875351009,"EOAD_vs_CN",398,"study_11"
"CFI",-0.000984726346394377,0.0670045121312197,0.000215984714413443,0.988413723163591,0.992992105866995,"EOAD_vs_CN",398,"study_11"
"CD44",0.0954966333595683,0.0477104256175699,4.00635602940748,0.0588621644029987,0.353172986417992,"EOAD_vs_CN",398,"study_11"
"IGSF8",-0.025216850897459,0.0221442117995846,1.29676490308944,0.266143326982865,0.65846457324183,"EOAD_vs_CN",398,"study_11"
"CNTNAP4",-0.0149143673773591,0.0510875988818682,0.0852272922292736,0.773246198265694,0.937911973558781,"EOAD_vs_CN",398,"study_11"
"C1QC",0.0615887221760524,0.0445019265468964,1.91533507572113,0.180672454152736,0.557056137192737,"EOAD_vs_CN",398,"study_11"
"C1R",0.0257122823878916,0.0337306581761688,0.581074245812387,0.454247508089861,0.810152738904297,"EOAD_vs_CN",398,"study_11"
"CPN2",0.0157980394599627,0.0779982630673821,0.0410238603782115,0.841366520658862,0.956951670536362,"EOAD_vs_CN",398,"study_11"
"AMBP",0.0626235372231932,0.0880211622961221,0.506175349317467,0.484690262515928,0.826313330303016,"EOAD_vs_CN",398,"study_11"
"C5",0.0602474315675938,0.0867079262441047,0.482791344100788,0.494660760704716,0.832852463164906,"EOAD_vs_CN",398,"study_11"
"HEXA",0.00292480962212516,0.044481455284924,0.00432351759452638,0.948181445584006,0.986437967023354,"EOAD_vs_CN",398,"study_11"
"DBI",0.0305931425820436,0.0353300637494333,0.7498240041661,0.396253609318502,0.764667386600575,"EOAD_vs_CN",398,"study_11"
"C1QA",0.0759554651554509,0.0388970310319318,3.81316105438374,0.0633641153445034,0.361746173514116,"EOAD_vs_CN",398,"study_11"
"NRXN3",-0.00880646649581518,0.0396766444359581,0.0492644346468223,0.826542638488357,0.953138706354856,"EOAD_vs_CN",398,"study_11"
"IGHV3-30",0.0315711744087124,0.0759736666576537,0.172685272787292,0.68164403570084,0.903498153486583,"EOAD_vs_CN",398,"study_11"
"C6",0.0967757331764027,0.0816213513914803,1.40580595412564,0.248876222007131,0.637056304614803,"EOAD_vs_CN",398,"study_11"
"CLEC3B",-0.0138990871715251,0.0246295193077911,0.318464249389732,0.577793251754545,0.869496295859452,"EOAD_vs_CN",398,"study_11"
"SPARCL1",-0.0938586527136095,0.046648154794117,4.04836529018664,0.0566571425975093,0.347534631516236,"EOAD_vs_CN",398,"study_11"
"GAP43",0.146275445329067,0.0671315048103358,4.747774605444,0.0414731593760726,0.301045282781758,"EOAD_vs_CN",398,"study_11"
"MCAM",-0.0316155586751306,0.0522384237359299,0.366287074345693,0.551791600106441,0.856623216896827,"EOAD_vs_CN",398,"study_11"
"SCG2",-0.185207719163163,0.065836810112003,7.91371864492343,0.0105790288923843,0.163445996387337,"EOAD_vs_CN",398,"study_11"
"LMAN1",0.0091530193203139,0.0297158186608778,0.0948753430661819,0.761062340458447,0.935062676746163,"EOAD_vs_CN",398,"study_11"
"HBD",-0.274426655247601,0.29052496175088,0.892248197837554,0.355329162842001,0.737932314913765,"EOAD_vs_CN",398,"study_11"
"ADGRB2",-0.167229548605193,0.0579976123181545,8.31391932063889,0.00899760497520187,0.151306663256456,"EOAD_vs_CN",398,"study_11"
"LTBP4",-0.00106955642151599,0.0283276651696846,0.00142556110685243,0.970230428161392,0.98875809471073,"EOAD_vs_CN",398,"study_11"
"IGHG3",0.200632457677278,0.153969575018362,1.69797997523978,0.206701096883928,0.582206857440196,"EOAD_vs_CN",398,"study_11"
"PON1",-0.0915016441947626,0.114062273557926,0.643537335544325,0.43127544727234,0.792874232601788,"EOAD_vs_CN",398,"study_11"
"AXL",0.0591564786750881,0.0319207181904071,3.43446678614073,0.077714377377566,0.3936679116339,"EOAD_vs_CN",398,"study_11"
"CADM1",-0.00581086816913642,0.0388523870986542,0.0223690031808099,0.882556710412404,0.962295276245956,"EOAD_vs_CN",398,"study_11"
"APOD",0.0519703119695626,0.050832088550674,1.04528505137639,0.318108866074936,0.704628240983191,"EOAD_vs_CN",398,"study_11"
"SPON1",0.0962133757095494,0.0306659972900267,9.843662587685,0.00492787181507226,0.119698018292115,"EOAD_vs_CN",398,"study_11"
"MGAT1",0.0154237576984028,0.042906889871262,0.129218982444232,0.722828902389434,0.919518303798976,"EOAD_vs_CN",398,"study_11"
"SERPINF2",0.0118078908122618,0.0791088714692086,0.0222789274333338,0.882781885122197,0.962295276245956,"EOAD_vs_CN",398,"study_11"
"CP",0.0398916629167517,0.0604298563191647,0.435773842425201,0.516011350591413,0.840655653360893,"EOAD_vs_CN",398,"study_11"
"PCSK1",-0.285740290816073,0.0711406358028489,16.132715691679,0.000612865489215872,0.0360715116509913,"EOAD_vs_CN",398,"study_11"
"CPB2",0.0650165379962247,0.0841830653297901,0.596483191220061,0.448672470885611,0.807841091495909,"EOAD_vs_CN",398,"study_11"
"SPARC",0.0565997019891873,0.0295285095165819,3.67405147780864,0.0682452321476021,0.372577730187277,"EOAD_vs_CN",398,"study_11"
"LYVE1",-0.169103443440876,0.0476406906523321,12.5993692687786,0.00186634301645773,0.0719111709438932,"EOAD_vs_CN",398,"study_11"
