"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.123112305251571,0.0255656255689475,23.1894302756723,2.5244889322254e-06,4.83762530268309e-05,"LOD_vs_CN",522,"study_11"
"NFASC",-0.0768834190962256,0.0169937636111477,20.468510110224,8.96500187066558e-06,0.000140337814261996,"LOD_vs_CN",522,"study_11"
"ALDOA",0.133746788048671,0.0213316640909169,39.3112858738967,1.95807780542084e-09,1.11271964514897e-07,"LOD_vs_CN",522,"study_11"
"LSAMP",-0.0588626536167181,0.0202993928768712,8.40840410621159,0.00408668819312774,0.0228042736194396,"LOD_vs_CN",522,"study_11"
"PARK7",0.105869514161684,0.0194560873703102,29.6094830047025,1.47577883348567e-07,4.50385836589702e-06,"LOD_vs_CN",522,"study_11"
"YWHAZ",0.335498235533105,0.020966510858477,256.051989234768,5.80672485961423e-40,1.43542238529664e-36,"LOD_vs_CN",522,"study_11"
"CXCL16",0.0246170558400027,0.0123520022840913,3.97189258456799,0.0472165779725876,0.14888192740224,"LOD_vs_CN",522,"study_11"
"SELENBP1",-0.0545044019556726,0.0235619566173518,5.35106779719281,0.0216627808249333,0.0832821060641292,"LOD_vs_CN",522,"study_11"
"PROCR",-0.0299948987365921,0.0223499931398973,1.80110906420087,0.180790889691698,0.381326859486243,"LOD_vs_CN",522,"study_11"
"NCAN",-0.076974023644975,0.0247577607427927,9.6664198563978,0.00209037523913424,0.0131486198247833,"LOD_vs_CN",522,"study_11"
"NICOL1",-0.115550828055068,0.023761410597144,23.6483958338778,2.04897493582421e-06,4.01989368361702e-05,"LOD_vs_CN",522,"study_11"
"DPP7",-0.02501701378439,0.0297675629872296,0.706292139974708,0.401401156551318,0.632950188670442,"LOD_vs_CN",522,"study_11"
"ICOSLG",-0.0871339616834974,0.0215738757969355,16.3124266739554,6.92019204869361e-05,0.000767117253110789,"LOD_vs_CN",522,"study_11"
"PAPLN",-0.000666986230687061,0.0129289020214525,0.002661401812182,0.95889588357002,0.980387219561778,"LOD_vs_CN",522,"study_11"
"FOLR2",-0.0213545887658037,0.0197571755261311,1.16824171158023,0.280823458690463,0.507082242427191,"LOD_vs_CN",522,"study_11"
"GC",0.0129612558587846,0.0348942380185207,0.137970656041295,0.710623117416425,0.850682976393899,"LOD_vs_CN",522,"study_11"
"HBA1",0.065895617159363,0.163339186355041,0.162754229659577,0.686970801963546,0.84027304426219,"LOD_vs_CN",522,"study_11"
"IGLV3-19",-0.0444422367806609,0.0494004704184391,0.809337472354452,0.369171273924986,0.602497523232369,"LOD_vs_CN",522,"study_11"
"FBLN5",0.0275972939356322,0.0151232406848806,3.32999261615472,0.0691781505457189,0.197697558553777,"LOD_vs_CN",522,"study_11"
"LAMP2",0.0024453758370615,0.0254382672298934,0.00924094068445953,0.923486433895708,0.964438320870969,"LOD_vs_CN",522,"study_11"
"NUCB2",0.0401141238592002,0.0200175856536903,4.01579219463373,0.0460711961134313,0.146762882464436,"LOD_vs_CN",522,"study_11"
"PDGFB",-0.0535215795508938,0.0148162814854856,13.0490652700464,0.000372029060169725,0.00317122702323986,"LOD_vs_CN",522,"study_11"
"ITIH2",0.053738659996112,0.0448891492930028,1.4331475831543,0.23232569590658,0.45008551746165,"LOD_vs_CN",522,"study_11"
"CSF1R",-0.0445463184951945,0.0176034155157014,6.40368196902564,0.011943536099118,0.0525345573612452,"LOD_vs_CN",522,"study_11"
"PGLYRP2",0.0208389749969308,0.0325825012607967,0.409057034624418,0.523009245692515,0.733742723410927,"LOD_vs_CN",522,"study_11"
"IGHM",-0.0675175969414137,0.0838310441289113,0.648670581898631,0.421371899869959,0.648991486902516,"LOD_vs_CN",522,"study_11"
"LAMA2",0.00712194831689692,0.0098575209896336,0.521990037705541,0.470596825229395,0.697849641251989,"LOD_vs_CN",522,"study_11"
"APLP2",-0.03875478861024,0.0228073705840068,2.88735581531128,0.0905265248188715,0.240187064051038,"LOD_vs_CN",522,"study_11"
"AGA",0.0306094406171325,0.0194219574880621,2.48384669685098,0.116220413549268,0.285501676759645,"LOD_vs_CN",522,"study_11"
"CFI",0.0169268353775812,0.0291925558652353,0.336207425448457,0.562566207579141,0.756290635564629,"LOD_vs_CN",522,"study_11"
"CD44",0.0527708418025149,0.017191534117839,9.42234012616587,0.00238354940206642,0.0145844904007629,"LOD_vs_CN",522,"study_11"
"IGSF8",-0.0420146934298218,0.0138690098578626,9.17722721236062,0.00270110291672002,0.0160122935494769,"LOD_vs_CN",522,"study_11"
"CNTNAP4",-0.0322016456639242,0.0190208135764121,2.86614366545731,0.0916131452828915,0.241952665747124,"LOD_vs_CN",522,"study_11"
"C1QC",0.0168780071791422,0.0175464680780175,0.925258137435415,0.336836555570678,0.570562156217659,"LOD_vs_CN",522,"study_11"
"C1R",0.0334217918124667,0.0149231711755796,5.01576543293269,0.0259507681995548,0.0957467149094021,"LOD_vs_CN",522,"study_11"
"CPN2",0.0322870244444217,0.0380647252045442,0.719466616315111,0.397090670170244,0.628430305160592,"LOD_vs_CN",522,"study_11"
"AMBP",0.0353462081246816,0.0394896761415901,0.801158632410628,0.371682495616021,0.604166592550144,"LOD_vs_CN",522,"study_11"
"C5",0.0291236238777642,0.0405688371773797,0.515354067168253,0.473506398775133,0.700064484313475,"LOD_vs_CN",522,"study_11"
"HEXA",0.00891556976294416,0.0219470983050837,0.165022813583742,0.684931811424497,0.838735681780743,"LOD_vs_CN",522,"study_11"
"DBI",0.0353892378861258,0.015268612213597,5.37209012322031,0.0212380036091007,0.0820317889401514,"LOD_vs_CN",522,"study_11"
"C1QA",-0.00344929192866517,0.0194843684147085,0.0313391518630665,0.859608934716534,0.936515331255739,"LOD_vs_CN",522,"study_11"
"NRXN3",-0.0535811841596204,0.0150308196705402,12.7074756415322,0.000435895484681322,0.00363605720119432,"LOD_vs_CN",522,"study_11"
"IGHV3-30",0.013032197237229,0.0497413295275078,0.0686436723882295,0.793570418699608,0.899215532149,"LOD_vs_CN",522,"study_11"
"C6",0.0611246909001857,0.036791073091335,2.76025014661342,0.0978828444443385,0.253367949179481,"LOD_vs_CN",522,"study_11"
"CLEC3B",0.0178885654128403,0.0158577845730258,1.27252405109844,0.260373507935137,0.484648320748518,"LOD_vs_CN",522,"study_11"
"SPARCL1",-0.0653070826281338,0.0247862714256286,6.94221668050383,0.00896277894642058,0.0429484139597416,"LOD_vs_CN",522,"study_11"
"GAP43",0.115815680201735,0.0226332924623229,26.1841966363173,6.57257025818784e-07,1.60865283942974e-05,"LOD_vs_CN",522,"study_11"
"MCAM",-0.0545919565273585,0.0184398200270346,8.76483939520121,0.00338624260006301,0.0193320824650248,"LOD_vs_CN",522,"study_11"
"SCG2",-0.136875910593763,0.0269049878903968,25.8814402940792,7.55805077373934e-07,1.74612163669941e-05,"LOD_vs_CN",522,"study_11"
"LMAN1",0.0207447113501795,0.012461666164406,2.77116616013116,0.0970879690665666,0.251573856952361,"LOD_vs_CN",522,"study_11"
"HBD",0.0618010053484443,0.138662037108323,0.198644217648256,0.656195029379484,0.821739672049688,"LOD_vs_CN",522,"study_11"
"ADGRB2",-0.138652300508203,0.0234743068389513,34.8874000585768,1.17616536594865e-08,5.10084348179835e-07,"LOD_vs_CN",522,"study_11"
"LTBP4",0.00304287407636819,0.0126461317601989,0.0578965327214531,0.810033013843898,0.908068961341591,"LOD_vs_CN",522,"study_11"
"IGHG3",0.0344099853299853,0.063094052328748,0.297435040969212,0.585958105885165,0.775740365275253,"LOD_vs_CN",522,"study_11"
"PON1",-0.00921047899989968,0.0532738309540387,0.0298907337966683,0.862878828025453,0.938007062643221,"LOD_vs_CN",522,"study_11"
"AXL",-0.0231965978007682,0.0143121739694485,2.62686268725394,0.106268098335938,0.267509917603297,"LOD_vs_CN",522,"study_11"
"CADM1",-0.0421336836783534,0.0164181820087012,6.58580290234555,0.0108966458740174,0.0493193791781043,"LOD_vs_CN",522,"study_11"
"APOD",0.0475918705773655,0.0246645614670569,3.72322046808946,0.0548763869625563,0.166651632151645,"LOD_vs_CN",522,"study_11"
"SPON1",0.0653661248207591,0.0150866998096304,18.772278121639,2.20100228104615e-05,0.000297315717964267,"LOD_vs_CN",522,"study_11"
"MGAT1",-0.00488306835011565,0.0173149617081264,0.0795321157151,0.778144753814952,0.892288979936066,"LOD_vs_CN",522,"study_11"
"SERPINF2",-0.0199857671409354,0.0326902614195279,0.373770360040616,0.541505540778061,0.748062874579679,"LOD_vs_CN",522,"study_11"
"CP",0.00288716257561084,0.0319403143895587,0.0081707910785367,0.92804854837388,0.965221897810262,"LOD_vs_CN",522,"study_11"
"PCSK1",-0.181540340410064,0.0358591564769744,25.6298551809092,8.59480759399469e-07,1.94920774058302e-05,"LOD_vs_CN",522,"study_11"
"CPB2",-0.0127777924760862,0.0325686038077755,0.153926494459783,0.69513646225344,0.84489910546081,"LOD_vs_CN",522,"study_11"
"SPARC",0.0185027084203169,0.0153078973841074,1.46096403634293,0.227879198621776,0.443922176402456,"LOD_vs_CN",522,"study_11"
"LYVE1",-0.0635984774008329,0.020434725620987,9.68625315311047,0.00205308240829661,0.0129469890645643,"LOD_vs_CN",522,"study_11"
"IGKC",-0.014343875161175,0.0425530374857511,0.113624467681284,0.736326187611072,0.866639056299745,"LOD_vs_CN",522,"study_11"
