"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.203068522662083,0.195860542719886,1.07495754286896,0.312123407281186,0.756243576892679,"EOAD_vs_CN",26,"study_3_Olink"
"CXCL16",-0.015817238883046,0.176222590600611,0.00805634738711394,0.929609653375126,0.985323249997798,"EOAD_vs_CN",26,"study_3_Olink"
"NCAN",-0.0525250101850538,0.0330458906118793,2.52637240344548,0.143831782724239,0.61807199192773,"EOAD_vs_CN",26,"study_3_Olink"
"DPP7",-0.367452818459965,0.183853456894254,3.99447369574675,0.0771123209225524,0.570210321596128,"EOAD_vs_CN",26,"study_3_Olink"
"ICOSLG",0.355006140162169,0.340901671285956,1.08445982698922,0.31696564175684,0.756243576892679,"EOAD_vs_CN",26,"study_3_Olink"
"FOLR2",0.191735911499786,0.248297128848034,0.596298242696495,0.458117228019854,0.839050248280727,"EOAD_vs_CN",26,"study_3_Olink"
"NUCB2",-0.377386494541239,0.239990647434219,2.47277199465184,0.143342653952146,0.61807199192773,"EOAD_vs_CN",26,"study_3_Olink"
"PDGFB",-0.122088617390277,0.103056792695238,1.40345052197041,0.248955079385336,0.702085054234184,"EOAD_vs_CN",25,"study_3_Olink"
"AMBP",-0.205020714596801,0.152675761517856,1.80324732294622,0.19872453052349,0.657246019601467,"EOAD_vs_CN",25,"study_3_Olink"
"HEXA",-0.0349133787892772,0.117854942334215,0.0877582917952031,0.769980669985671,0.954623462011741,"EOAD_vs_CN",26,"study_3_Olink"
"C1QA",0.396328728805507,0.298693338025437,1.76059731815928,0.214314846400075,0.663523114169065,"EOAD_vs_CN",26,"study_3_Olink"
"SPARCL1",-0.110052699562457,0.174705124937536,0.396816854380241,0.540367242828005,0.87785292156174,"EOAD_vs_CN",26,"study_3_Olink"
"SCG2",-0.162068779706247,0.141517560025096,1.31152948955154,0.28362660433634,0.734627940884211,"EOAD_vs_CN",26,"study_3_Olink"
"AXL",-0.114497951137107,0.133308829029981,0.737696296912237,0.403606585601927,0.81351034185768,"EOAD_vs_CN",26,"study_3_Olink"
"SPON1",0.0528529480952135,0.19499291336192,0.0734684331335209,0.790810876700688,0.954623462011741,"EOAD_vs_CN",26,"study_3_Olink"
"SPARC",-0.0697089422970283,0.0544257143366462,1.64047157884954,0.218225379771159,0.663523114169065,"EOAD_vs_CN",26,"study_3_Olink"
"LYVE1",0.0434854408372178,0.228118492328818,0.036338480985588,0.852214265806722,0.977797583195352,"EOAD_vs_CN",26,"study_3_Olink"
"CNDP1",0.0763236324807171,0.191744892492329,0.158442050515659,0.698483534629494,0.946739730672506,"EOAD_vs_CN",26,"study_3_Olink"
"PLTP",-0.0405828298989914,0.178149557461194,0.0518937624827955,0.823561643194178,0.97022979606089,"EOAD_vs_CN",26,"study_3_Olink"
"LGALS1",-0.023971119886733,0.196278005352782,0.0149153475024951,0.904905688526975,0.985323249997798,"EOAD_vs_CN",26,"study_3_Olink"
"OMG",-0.0491078119578834,0.0318566700526021,2.37629532431203,0.14451700988999,0.61807199192773,"EOAD_vs_CN",26,"study_3_Olink"
"IGFBP6",-0.41269275880272,0.157469093554425,6.86851802562153,0.0194282455348364,0.388564910696728,"EOAD_vs_CN",26,"study_3_Olink"
"NPPC",0.0602833305715804,0.0869152568442363,0.481063538203264,0.501718824335541,0.870957533414515,"EOAD_vs_CN",26,"study_3_Olink"
"CPE",-0.0328634241771297,0.0821830816443423,0.159904534927445,0.698261643192947,0.946739730672506,"EOAD_vs_CN",26,"study_3_Olink"
"PTN",-0.305360216035943,0.142315888309707,4.60381785100583,0.0574115623081098,0.512948098480119,"EOAD_vs_CN",26,"study_3_Olink"
"DCN",-0.136474325820772,0.0387289946315136,12.4173656163209,0.00305601171078407,0.274509251168635,"EOAD_vs_CN",25,"study_3_Olink"
"GALNT2",0.0243446745619473,0.223427341039593,0.0118723123062752,0.915132093085084,0.985323249997798,"EOAD_vs_CN",26,"study_3_Olink"
"CD99L2",-0.0579878484526812,0.104391188309052,0.308564747531064,0.590927864082791,0.902405366316214,"EOAD_vs_CN",26,"study_3_Olink"
"CHI3L1",0.19007879860724,0.0701555695543853,7.34079417304879,0.0142737758213058,0.349731918968603,"EOAD_vs_CN",26,"study_3_Olink"
"FAM3C",0.000755587940532543,0.0229618972256147,0.001082815585272,0.974134451727779,0.993832009614841,"EOAD_vs_CN",26,"study_3_Olink"
"CRTAC1",-0.0286542628726969,0.318579369175945,0.00808990060143087,0.929878996778232,0.985323249997798,"EOAD_vs_CN",26,"study_3_Olink"
"CTSH",-0.398725566290175,0.219585627226024,3.29716245848449,0.0931967966580457,0.570210321596128,"EOAD_vs_CN",26,"study_3_Olink"
