"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.0633808212431251,0.161082641731319,0.154816853861059,0.700898585516267,0.970972504987963,"EOAD_vs_LOAD",18,"study_3_Olink"
"CXCL16",-0.0928437346772868,0.173107206305742,0.287656974598122,0.600345114329144,0.96177619881277,"EOAD_vs_LOAD",18,"study_3_Olink"
"NCAN",-0.0316647299556543,0.0357018808851905,0.786627968849646,0.392457628436955,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"DPP7",-0.400789586618627,0.195567378278462,4.19991045127395,0.0655012794641995,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"ICOSLG",0.255270364290734,0.345143623319694,0.547017333620015,0.473182114520663,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"FOLR2",0.124189409236488,0.268804247063594,0.213450349329455,0.652196380367964,0.965025644333596,"EOAD_vs_LOAD",18,"study_3_Olink"
"NUCB2",-0.260566284533833,0.23608925842477,1.21810292092138,0.294468969183395,0.92719850412898,"EOAD_vs_LOAD",18,"study_3_Olink"
"PDGFB",-0.0502761454562162,0.0946576827529701,0.282105927099855,0.602713084589336,0.96177619881277,"EOAD_vs_LOAD",18,"study_3_Olink"
"AMBP",-0.0127899321712253,0.19735297504542,0.00419999842240642,0.949142889415187,0.988510827841779,"EOAD_vs_LOAD",18,"study_3_Olink"
"HEXA",-0.0576297382682847,0.123688636198206,0.217086937720259,0.647551743068077,0.965025644333596,"EOAD_vs_LOAD",18,"study_3_Olink"
"C1QA",0.360692447678741,0.303413790103501,1.41319947346897,0.261283575530834,0.895150096317431,"EOAD_vs_LOAD",18,"study_3_Olink"
"SPARCL1",-0.155776914603255,0.181252110575807,0.738652293606048,0.405930150842494,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"SCG2",-0.132432164821659,0.138075069381223,0.919933462322569,0.366828204673499,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"AXL",-0.147655313404389,0.129224694050205,1.30559095981617,0.273721400942835,0.90292802395316,"EOAD_vs_LOAD",18,"study_3_Olink"
"SPON1",-0.358497003449859,0.21482782169177,2.78477435053648,0.116742113415263,0.730949777783568,"EOAD_vs_LOAD",18,"study_3_Olink"
"SPARC",-0.0395300587457061,0.0565871658326977,0.487999114331404,0.495452098043698,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"LYVE1",0.137350869154557,0.237913591573141,0.33329156111807,0.574202076670839,0.96177619881277,"EOAD_vs_LOAD",18,"study_3_Olink"
"CNDP1",0.0581128658708634,0.190473501264856,0.0930840898869051,0.766441919673712,0.984356499768602,"EOAD_vs_LOAD",18,"study_3_Olink"
"PLTP",-0.324650784924874,0.460399163619816,0.497237486488096,0.495182051704227,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"LGALS1",-0.0174909261098675,0.205971568836337,0.00721125837572351,0.93366021082847,0.988510827841779,"EOAD_vs_LOAD",18,"study_3_Olink"
"OMG",-0.0318795141433514,0.0321712839822242,0.981943725322508,0.338933868919097,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"IGFBP6",-0.0291775161180148,0.190731834510406,0.023401853883242,0.880329522772554,0.988510827841779,"EOAD_vs_LOAD",18,"study_3_Olink"
"NPPC",0.00143536160869084,0.0966607053765538,0.000220507178376255,0.988360225131181,0.994993515232733,"EOAD_vs_LOAD",18,"study_3_Olink"
"CPE",-0.0453533357376559,0.0913134769046685,0.246688390104834,0.628016998624632,0.964512181045218,"EOAD_vs_LOAD",18,"study_3_Olink"
"PTN",-0.39088311336027,0.148224845583318,6.95427410241491,0.0228439122580746,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"DCN",-0.118015433976802,0.0430027153947642,7.53157587769237,0.0146581892885803,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"GALNT2",-0.120363354949578,0.217044404153592,0.307532757560048,0.591259581908718,0.96177619881277,"EOAD_vs_LOAD",18,"study_3_Olink"
"CD99L2",-0.0908396551035491,0.110295922989129,0.678315958347807,0.426934673093712,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"CHI3L1",0.23026658742084,0.0737857225526686,9.7390631171511,0.00667524298954683,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"FAM3C",-0.0306519561665084,0.0318959707834276,0.923516676081657,0.351877761098049,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"CRTAC1",-0.0874938857099803,0.309045402883256,0.0801513485004593,0.782775003045692,0.985279593161711,"EOAD_vs_LOAD",18,"study_3_Olink"
"CTSH",-0.553469942994834,0.279034827548777,3.93433427204752,0.0647498984357957,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"TIMP1",-0.128125549455787,0.188760127469755,0.460734737795095,0.506989281082447,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"SELL",-0.139752805874587,0.190235050141731,0.539684565602183,0.473706004073194,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"TAFA5",-0.104449193386096,0.108857334408535,0.920650492604334,0.355544908278754,0.939161129967471,"EOAD_vs_LOAD",18,"study_3_Olink"
"TNFRSF21",-0.129205177838514,0.0723743882524428,3.18705842200929,0.104972612565906,0.730949777783568,"EOAD_vs_LOAD",18,"study_3_Olink"
"IGFBP7",-0.216684153087907,0.110057974977275,3.87624542298465,0.0688606760741901,0.67363704855186,"EOAD_vs_LOAD",18,"study_3_Olink"
"SEZ6L2",-0.245127068308074,0.104884461484237,5.46210741927443,0.0404491982129202,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"KIT",-0.302010568194358,0.22986597079151,1.72621511123565,0.21094368482879,0.851342225766419,"EOAD_vs_LOAD",18,"study_3_Olink"
"HSPG2",-0.165861076135915,0.078283277846506,4.48901393666831,0.0502189915226436,0.655012794641995,"EOAD_vs_LOAD",18,"study_3_Olink"
"IGFBP2",0.1516850208873,0.211248647247219,0.515581728599712,0.483096114451336,0.951600510799516,"EOAD_vs_LOAD",18,"study_3_Olink"
"PRELP",-0.0641965719846818,0.118482244613734,0.293573688540551,0.596395391359614,0.96177619881277,"EOAD_vs_LOAD",18,"study_3_Olink"
"ALCAM",-0.0753631009889109,0.20044612145928,0.141358590415179,0.713413957060889,0.974313446668893,"EOAD_vs_LOAD",18,"study_3_Olink"
"WFIKKN2",0.0739145433796931,0.26010328955634,0.0807547555855281,0.78190659615704,0.985279593161711,"EOAD_vs_LOAD",18,"study_3_Olink"
"TGFBI",-0.332174897309885,0.245881098835496,1.82508597702945,0.19670735359566,0.851137587673531,"EOAD_vs_LOAD",18,"study_3_Olink"
