"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.139687701418958,0.163219005404391,0.732444779410915,0.400124977536089,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"CXCL16",0.0770264957942408,0.150093757250571,0.263363159002666,0.612472105308379,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"NCAN",-0.0208602802293996,0.0230043419463544,0.822281742531487,0.376707694051906,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"DPP7",0.0333367681586623,0.110786522926016,0.0905468038993037,0.767052288844896,0.975227987850921,"LOAD_vs_CN",28,"study_3_Olink"
"ICOSLG",0.0997357758714355,0.262231179950868,0.144654944415998,0.707201366625582,0.962933495296668,"LOAD_vs_CN",28,"study_3_Olink"
"FOLR2",0.0675465022632986,0.175449625113921,0.148217963178873,0.704834005701094,0.962677023623672,"LOAD_vs_CN",28,"study_3_Olink"
"NUCB2",-0.116820210007406,0.15599571345521,0.560803397248551,0.461052507244481,0.936675522618584,"LOAD_vs_CN",28,"study_3_Olink"
"PDGFB",-0.0718124719340612,0.103594984795927,0.480531974229972,0.494679710899736,0.940796799093607,"LOAD_vs_CN",27,"study_3_Olink"
"AMBP",-0.192230782425575,0.181837948646687,1.11757536645055,0.306662257611864,0.893219476143055,"LOAD_vs_CN",27,"study_3_Olink"
"HEXA",0.0227163594790074,0.127107072818428,0.0319402293683093,0.859781365907411,0.983517184774413,"LOAD_vs_CN",28,"study_3_Olink"
"C1QA",0.0356362811267661,0.180314236918456,0.0390593234051439,0.845131544905194,0.981630805372806,"LOAD_vs_CN",28,"study_3_Olink"
"SPARCL1",0.0457242150407979,0.135117114235594,0.11451748318125,0.738341029180693,0.9719107301206,"LOAD_vs_CN",28,"study_3_Olink"
"SCG2",-0.0296366148845877,0.0514094918040421,0.332330783825728,0.569264836440995,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"AXL",0.0331573622672821,0.109477271382379,0.0917301322357577,0.764525109819135,0.974943769249868,"LOAD_vs_CN",28,"study_3_Olink"
"SPON1",0.411349951545073,0.169021520911611,5.92296123627973,0.025136120071924,0.538631144398371,"LOAD_vs_CN",28,"study_3_Olink"
"SPARC",-0.0301788835513221,0.050784537242011,0.353137094701704,0.558382197533913,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"LYVE1",-0.093865428317339,0.167124564647983,0.31545016182539,0.580333918717842,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"CNDP1",0.0182107666098537,0.118606636626696,0.0235742820724847,0.879255717819611,0.984362800139884,"LOAD_vs_CN",28,"study_3_Olink"
"PLTP",0.284067955025883,0.443742769134137,0.409809395706784,0.536740017929027,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"LGALS1",-0.00648019377686548,0.14818907526233,0.00191224533285087,0.965540673709428,0.99020151770083,"LOAD_vs_CN",28,"study_3_Olink"
"OMG",-0.0172282978145319,0.0268418312095444,0.411965131325561,0.52728617856843,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"IGFBP6",-0.383515242684706,0.170209791153217,5.0768716190655,0.037960968868882,0.551046322290222,"LOAD_vs_CN",28,"study_3_Olink"
"NPPC",0.0588479689628896,0.0729857172429534,0.650110524029663,0.430691279890578,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"CPE",0.0124899115605261,0.0586659846319946,0.0453258542708972,0.834138173311475,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"PTN",0.0855228973243269,0.0931425393615411,0.843079759057847,0.369311771388103,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"DCN",-0.0184588918439701,0.0378543080643338,0.23778290360648,0.631314937843131,0.940796799093607,"LOAD_vs_CN",27,"study_3_Olink"
"GALNT2",0.144708029511525,0.141812255342554,1.04125651465855,0.317220717122645,0.90672194231225,"LOAD_vs_CN",28,"study_3_Olink"
"CD99L2",0.0328518066508678,0.0696713226257321,0.222336316291212,0.64259214495456,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"CHI3L1",-0.0401877888136006,0.0704609490790452,0.32530537972388,0.574247882144061,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"FAM3C",0.0314075441070409,0.0304473236945709,1.06406879683335,0.318999654661454,0.90672194231225,"LOAD_vs_CN",28,"study_3_Olink"
"CRTAC1",0.0588396228372834,0.204021697775329,0.0831738961832683,0.775395665995137,0.978760307707746,"LOAD_vs_CN",28,"study_3_Olink"
"CTSH",0.154744376704659,0.237427738866601,0.424782717552246,0.524612884611788,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"TIMP1",-0.0666633925225195,0.154163410329358,0.186987340417124,0.673186693310019,0.956236696407536,"LOAD_vs_CN",28,"study_3_Olink"
"SELL",-0.0454019490577409,0.162437308506359,0.0781227323533231,0.782802352429209,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"TAFA5",-0.0104520863052331,0.0691079115210971,0.0228744382342056,0.881745481317697,0.984362800139884,"LOAD_vs_CN",28,"study_3_Olink"
"TNFRSF21",0.0117688264630615,0.0342114060906438,0.118338066696996,0.735729343458505,0.970903825678379,"LOAD_vs_CN",28,"study_3_Olink"
"IGFBP7",-0.0629030313809169,0.0847453548027588,0.550948932318427,0.467222431745716,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"SEZ6L2",0.104612810230109,0.0656018142307118,2.54295126706413,0.124427514752997,0.805645778976238,"LOAD_vs_CN",28,"study_3_Olink"
"KIT",0.0421756903019834,0.159302893612241,0.0700933908678562,0.794540394086856,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"HSPG2",0.0494415806432151,0.0724751999064586,0.465378000641857,0.502989364874275,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"IGFBP2",-0.16440309827753,0.173696551730902,0.895854752673927,0.360711421764769,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"PRELP",-0.183983802778899,0.0905493930304786,4.12846013338367,0.0569821763710331,0.624049936805191,"LOAD_vs_CN",27,"study_3_Olink"
"ALCAM",0.0470165018376196,0.149884516598897,0.0983981839934565,0.756547730780509,0.974943769249868,"LOAD_vs_CN",28,"study_3_Olink"
"WFIKKN2",-0.545106560357282,0.182192247401032,8.95164872426031,0.00604174998976188,0.280199933898279,"LOAD_vs_CN",28,"study_3_Olink"
"TGFBI",-0.0134107466847952,0.224424421290012,0.00357080135162355,0.953268582879646,0.99020151770083,"LOAD_vs_CN",28,"study_3_Olink"
"DNER",-0.000865064749371314,0.0382874438361024,0.000510486762736938,0.982156221200905,0.993231584336018,"LOAD_vs_CN",28,"study_3_Olink"
"CDH2",-0.0173949333868966,0.134424846579321,0.0167450497039352,0.898393060556251,0.984597994617541,"LOAD_vs_CN",28,"study_3_Olink"
"ICAM5",0.0745625208042728,0.0856081244198657,0.758597138033289,0.39243157347,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"MOG",-0.045936151067405,0.0236308771124052,3.7787618604712,0.0628142672736426,0.639511445117484,"LOAD_vs_CN",28,"study_3_Olink"
"COL18A1",-0.0125795306944791,0.197036130586661,0.00407602780483235,0.949982103345204,0.99020151770083,"LOAD_vs_CN",28,"study_3_Olink"
"RTN4R",0.00617470512281959,0.12380729636869,0.0024873675550662,0.960821383776553,0.99020151770083,"LOAD_vs_CN",28,"study_3_Olink"
"COCH",-0.0707641228859992,0.178878665407699,0.15649813414064,0.695783623754543,0.960923552177744,"LOAD_vs_CN",28,"study_3_Olink"
"CD59",0.06755923537982,0.135331363466365,0.249214057819984,0.622847929393119,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"TGFBR3",0.100314112998978,0.277880613139016,0.130318951702083,0.724345888451425,0.964696393697131,"LOAD_vs_CN",28,"study_3_Olink"
"CLSTN2",0.130432175741004,0.153716901918427,0.719989614196962,0.407025875199714,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"L1CAM",0.249159919916728,0.099574863859245,6.26119057199666,0.0192530437314527,0.45661108430528,"LOAD_vs_CN",28,"study_3_Olink"
"APLP1",0.0341373621843957,0.080406102136625,0.180252750852258,0.674678113576428,0.956236696407536,"LOAD_vs_CN",28,"study_3_Olink"
"BCAN",-0.00842101561278952,0.0300110356538038,0.078734845480277,0.78384242885887,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"NBL1",0.119065591630434,0.0903375788684197,1.73714333673956,0.206125278152165,0.860265971762348,"LOAD_vs_CN",28,"study_3_Olink"
"SOD1",0.139145164622157,0.0502553704066375,7.66604353541136,0.0103039301414186,0.356674504895258,"LOAD_vs_CN",28,"study_3_Olink"
"COL1A1",0.0145363764504078,0.128922192675038,0.0127132608030962,0.911783653278085,0.984597994617541,"LOAD_vs_CN",28,"study_3_Olink"
"DDR1",-0.0808257881694061,0.137336539312367,0.34635997326338,0.563139649293648,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"TPP1",-0.0450615209484733,0.106636029995013,0.178568050060937,0.678084594827932,0.958524862185413,"LOAD_vs_CN",28,"study_3_Olink"
"CTSL",0.00536253292256816,0.0731324132110533,0.00537675359451626,0.942152259165905,0.99020151770083,"LOAD_vs_CN",27,"study_3_Olink"
"KLK6",-0.0136197450235604,0.0435488150278673,0.0978104528973409,0.758106830282865,0.974943769249868,"LOAD_vs_CN",28,"study_3_Olink"
"PCOLCE",-0.103589931292924,0.177744085197672,0.339660289047783,0.569637414040292,0.940796799093607,"LOAD_vs_CN",28,"study_3_Olink"
"NRCAM",0.00735919332339918,0.0332496307383507,0.0489876685404558,0.828103107301581,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"SERPINA7",-0.157889664096039,0.203627230410174,0.601223147543851,0.449019252798551,0.930295636833279,"LOAD_vs_CN",28,"study_3_Olink"
"CNTN2",0.0341485835282098,0.0344550718064523,0.982288521874584,0.334087162241169,0.912952070776007,"LOAD_vs_CN",28,"study_3_Olink"
"NCAM1",0.139889821398862,0.17475009417363,0.640821972585015,0.432024899642476,0.925284353017862,"LOAD_vs_CN",28,"study_3_Olink"
"PTPRS",0.128245297890734,0.168186255335153,0.581435974874661,0.454273316440961,0.930375320667014,"LOAD_vs_CN",28,"study_3_Olink"
"RARRES2",-0.0697442841395919,0.173653726306372,0.161305445183686,0.693024556248918,0.960923552177744,"LOAD_vs_CN",28,"study_3_Olink"
"MASP1",0.0179498801808915,0.078816736985393,0.0518664120126886,0.823814179851941,0.979259950236983,"LOAD_vs_CN",28,"study_3_Olink"
"DPP6",0.12139673229153,0.115278836845827,1.10895729408074,0.303860554696006,0.893219476143055,"LOAD_vs_CN",28,"study_3_Olink"
"NID2",-0.142260904045288,0.104209669006053,1.86361027184351,0.189280796810986,0.860265971762348,"LOAD_vs_CN",28,"study_3_Olink"
"CPVL",-0.300286493115566,0.152147034174866,3.89533321564528,0.0680151745892753,0.651209118407955,"LOAD_vs_CN",28,"study_3_Olink"
