"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"NFASC",-0.215047004416638,0.14812163507161,2.107801938554,0.168712604311489,0.497418337262627,"EOD_vs_LOD",18,"study_3_Soma"
"ALDOA",-0.186643496418011,0.131851136595681,2.00381658741214,0.185225389882685,0.515535941553375,"EOD_vs_LOD",18,"study_3_Soma"
"LSAMP",-0.096706536492615,0.13733990709126,0.495813286369008,0.493864398681763,0.735278560048547,"EOD_vs_LOD",18,"study_3_Soma"
"PARK7",-0.201570112356462,0.118134302100281,2.91138899364857,0.117097024690916,0.450013773707417,"EOD_vs_LOD",18,"study_3_Soma"
"YWHAZ",-0.0813514954956798,0.140369252673494,0.335882290876156,0.572385240208417,0.779262664191791,"EOD_vs_LOD",18,"study_3_Soma"
"CXCL16",-0.181203483916358,0.178433868674487,1.03128453104545,0.326120219875628,0.630551670593868,"EOD_vs_LOD",18,"study_3_Soma"
"CST7",-0.0341106064186842,0.255718952610172,0.0177931584752343,0.895621207137152,0.946859631535109,"EOD_vs_LOD",18,"study_3_Soma"
"PROCR",-0.177060465166804,0.2010972341701,0.775230778181098,0.391641319301181,0.668372167734975,"EOD_vs_LOD",18,"study_3_Soma"
"NCAN",-0.407963614602938,0.206507624381469,3.90274953511748,0.0733213200501412,0.384741789862891,"EOD_vs_LOD",18,"study_3_Soma"
"DPP7",-0.451884118025028,0.218274893863867,4.28594490758386,0.0551403817548258,0.371093208850045,"EOD_vs_LOD",18,"study_3_Soma"
"ICOSLG",-0.073167348582329,0.179945177717303,0.165330968433984,0.689700636034367,0.844740560609522,"EOD_vs_LOD",18,"study_3_Soma"
"FOLR2",-0.0147171696773682,0.274765820803286,0.0028689513093769,0.958049978680469,0.977614496432718,"EOD_vs_LOD",18,"study_3_Soma"
"GC",-0.0370328781404687,0.0846282570330181,0.191489135869583,0.667767980785284,0.837459608843662,"EOD_vs_LOD",18,"study_3_Soma"
"HBA1",-0.800792594683179,1.91989340777445,0.173974606117102,0.682150157637608,0.841634338011215,"EOD_vs_LOD",18,"study_3_Soma"
"FBLN5",-0.0345117553181904,0.121991602425472,0.0800339451563697,0.781722446123794,0.896371744017769,"EOD_vs_LOD",18,"study_3_Soma"
"NUCB2",-0.0921989873641937,0.164360701341411,0.314670717779711,0.582724902362827,0.785646811870287,"EOD_vs_LOD",18,"study_3_Soma"
"ITIH2",-0.0140779473934813,0.154462145845133,0.008306815185356,0.92859198052218,0.965785812016464,"EOD_vs_LOD",18,"study_3_Soma"
"CSF1R",0.00827243037946346,0.0849052319827073,0.00949286567998293,0.923753089339429,0.96320912282605,"EOD_vs_LOD",18,"study_3_Soma"
"PGLYRP2",-0.186668078573778,0.122651797609719,2.31628651595215,0.148708542518501,0.47719534501342,"EOD_vs_LOD",18,"study_3_Soma"
"IGHM",-0.775943820445232,0.367240135010211,4.46437102541524,0.0511942804132389,0.371093208850045,"EOD_vs_LOD",18,"study_3_Soma"
"LAMA2",-0.00619530530058121,0.0843778072168222,0.00539099533720283,0.94258145711145,0.970813365488701,"EOD_vs_LOD",18,"study_3_Soma"
"APLP2",-0.403463391291019,0.128273046228139,9.89321511429941,0.00658996123733605,0.296826704746488,"EOD_vs_LOD",18,"study_3_Soma"
"AGA",-0.0889391057714866,0.0512704222372823,3.0092046827186,0.105626904440102,0.437185298201858,"EOD_vs_LOD",18,"study_3_Soma"
"CFI",-0.0833278065513845,0.0726199104196312,1.31664435739539,0.268321390278763,0.586249566672958,"EOD_vs_LOD",18,"study_3_Soma"
"IGSF8",-0.23475840959185,0.194304215468268,1.45974794218457,0.246858780347536,0.564874411050746,"EOD_vs_LOD",18,"study_3_Soma"
"C1R",0.0891758268802292,0.304865575988423,0.0855613272428919,0.775107859120962,0.894538072160052,"EOD_vs_LOD",18,"study_3_Soma"
"CPN2",-0.274859858076653,0.264285879017257,1.08162002125052,0.314421083085742,0.62155395631244,"EOD_vs_LOD",18,"study_3_Soma"
"AMBP",-0.110982734493767,0.129079317867275,0.739260529421279,0.403108731954165,0.67565079915588,"EOD_vs_LOD",18,"study_3_Soma"
"C5",0.0666070773844574,0.29773638884563,0.0500468701429412,0.825950448136588,0.919236606358603,"EOD_vs_LOD",18,"study_3_Soma"
"DBI",-0.109650432019031,0.0791608022378269,1.91867015708057,0.189036721109444,0.52070580026529,"EOD_vs_LOD",18,"study_3_Soma"
"C1QA",0.0450416228578945,0.0773667156880509,0.338937590575875,0.571921910120384,0.7789914698899,"EOD_vs_LOD",18,"study_3_Soma"
"NRXN3",-0.209789417288009,0.134849425183917,2.42029862588089,0.139806750030973,0.467191208567451,"EOD_vs_LOD",18,"study_3_Soma"
"C6",-0.00166544904629617,0.196655286348151,7.1721844465379e-05,0.99334843105303,0.997086886217184,"EOD_vs_LOD",18,"study_3_Soma"
"CLEC3B",-0.111009282555479,0.0621527659868946,3.19005132150646,0.103076790187156,0.436031183886938,"EOD_vs_LOD",18,"study_3_Soma"
"SPARCL1",-0.0242234660680314,0.124693743067782,0.0377383794445113,0.848930289758037,0.927205627912109,"EOD_vs_LOD",18,"study_3_Soma"
"GAP43",-0.192429415041726,0.285687839430463,0.453690212276694,0.515934159568435,0.745912044439355,"EOD_vs_LOD",18,"study_3_Soma"
"MCAM",-0.119803324595221,0.049132105635554,5.94575467916934,0.0278544019738177,0.347625141985748,"EOD_vs_LOD",18,"study_3_Soma"
"ADGRB2",-0.363820544125499,0.26893218340529,1.83015925528037,0.20530385423695,0.535531587153153,"EOD_vs_LOD",18,"study_3_Soma"
"LTBP4",-0.0902017652867393,0.114780426663115,0.617581679687398,0.443851329318701,0.703696695436362,"EOD_vs_LOD",18,"study_3_Soma"
