"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"NFASC",0.113275157698862,0.120567505246957,0.882691209441136,0.35729120293183,0.880227508319868,"LOD_vs_CN",27,"study_3_Soma"
"ALDOA",0.377940187421139,0.0884056497422455,18.2762086473301,0.000244244589238372,0.036279256460787,"LOD_vs_CN",27,"study_3_Soma"
"LSAMP",0.049380256172606,0.0990520049242084,0.248530753246252,0.623042059675746,0.943510647032567,"LOD_vs_CN",27,"study_3_Soma"
"PARK7",0.362155915738288,0.0928854326535038,15.2018327699581,0.000675935992481623,0.0554267513834931,"LOD_vs_CN",27,"study_3_Soma"
"YWHAZ",0.695000133703669,0.105005667314704,43.8070791886852,8.3057955680869e-07,0.00265619342267419,"LOD_vs_CN",27,"study_3_Soma"
"CXCL16",0.185356423166532,0.153746212713444,1.4534711893566,0.240668858110217,0.833175877690612,"LOD_vs_CN",27,"study_3_Soma"
"CST7",0.0723723004694072,0.179194773199685,0.163115067207947,0.693368871074924,0.960643215713691,"LOD_vs_CN",27,"study_3_Soma"
"PROCR",-0.0308477629682464,0.182132917365426,0.0286860309161405,0.867352850964399,0.978444858239068,"LOD_vs_CN",27,"study_3_Soma"
"NCAN",0.226840103237263,0.135900028514357,2.78612486909872,0.107934235551283,0.659987925990447,"LOD_vs_CN",27,"study_3_Soma"
"DPP7",0.0405841407226095,0.180752684735028,0.0504130760019882,0.826098035397991,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"ICOSLG",0.175746688688427,0.168927059349087,1.08237027829133,0.311680253423342,0.87460875612855,"LOD_vs_CN",27,"study_3_Soma"
"FOLR2",0.0559136927509947,0.190582542094573,0.0860736302665587,0.772691117302214,0.971508377808393,"LOD_vs_CN",27,"study_3_Soma"
"GC",-0.126949712717767,0.0629456639606271,4.06753976169795,0.0627647128982707,0.543804637023533,"LOD_vs_CN",27,"study_3_Soma"
"HBA1",0.109440645932427,1.64316769010345,0.00443602026877971,0.947712636925055,0.990994566041652,"LOD_vs_CN",27,"study_3_Soma"
"FBLN5",0.0212894185530601,0.09640657369883,0.0487656822098625,0.827088394485768,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"NUCB2",-0.0435350591566408,0.125952406584258,0.119471780979365,0.734847420954886,0.968214902910038,"LOD_vs_CN",27,"study_3_Soma"
"ITIH2",-0.0829326087941844,0.140124100530887,0.350287773216033,0.564154569238394,0.921751426488629,"LOD_vs_CN",27,"study_3_Soma"
"CSF1R",0.138248314913685,0.0885190545903719,2.43919296705513,0.130952202708799,0.709042061637452,"LOD_vs_CN",27,"study_3_Soma"
"PGLYRP2",-0.0541503231299032,0.0870832347131396,0.386663341645957,0.544355371415036,0.91950222461731,"LOD_vs_CN",27,"study_3_Soma"
"IGHM",-0.426060116949808,0.291683255030672,2.13362832802724,0.16278575763502,0.759490086027701,"LOD_vs_CN",27,"study_3_Soma"
"LAMA2",0.0542581107102986,0.0788422496016953,0.473599592225142,0.497682560160827,0.910735020939784,"LOD_vs_CN",27,"study_3_Soma"
"APLP2",0.204849981744825,0.113449777332757,3.26035254669428,0.0846468729000876,0.61712265232288,"LOD_vs_CN",27,"study_3_Soma"
"AGA",0.0274403695527656,0.0409664921915785,0.448665168314421,0.509530256337007,0.910735020939784,"LOD_vs_CN",27,"study_3_Soma"
"CFI",-0.0668618451570815,0.0658443501728955,1.0311448643294,0.325441306851993,0.880053596687284,"LOD_vs_CN",27,"study_3_Soma"
"IGSF8",0.113002943061574,0.169232332556112,0.44587469782494,0.510677523709022,0.910735020939784,"LOD_vs_CN",27,"study_3_Soma"
"C1R",-0.0371309573050347,0.173093316142104,0.046016300032734,0.832426301906126,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"CPN2",-0.131869473707667,0.257961085031228,0.261324516688652,0.615673390475837,0.942247800325381,"LOD_vs_CN",27,"study_3_Soma"
"AMBP",-0.100421984194728,0.10367444348374,0.938240489250052,0.345750174711519,0.880227508319868,"LOD_vs_CN",27,"study_3_Soma"
"C5",-0.25223971696116,0.253610814543865,0.989216616816193,0.34110418196113,0.880227508319868,"LOD_vs_CN",27,"study_3_Soma"
"DBI",0.0608407655009309,0.0649112650252093,0.878515024975342,0.357824710606608,0.880227508319868,"LOD_vs_CN",27,"study_3_Soma"
"C1QA",0.0115208638293574,0.0527956260086225,0.0476183342882507,0.829057862531268,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"NRXN3",0.0151720623092686,0.111920308676324,0.0183768654973863,0.89367475733578,0.982199751471484,"LOD_vs_CN",27,"study_3_Soma"
"C6",-0.0756877633508566,0.184017910611788,0.169173039623569,0.685811793436608,0.960038595838227,"LOD_vs_CN",27,"study_3_Soma"
"CLEC3B",0.00949262647147364,0.0514306971355657,0.0340665349344109,0.855154878867963,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"SPARCL1",0.000996210077195414,0.122766205370992,6.58482437843938e-05,0.9936450731022,0.999114375942715,"LOD_vs_CN",27,"study_3_Soma"
"GAP43",0.811541753709893,0.157805624116428,26.4470224488927,2.63264423802692e-05,0.00936509217893163,"LOD_vs_CN",27,"study_3_Soma"
"MCAM",0.0213617137418503,0.0458902960241767,0.216685805892746,0.64575564716298,0.948139799526934,"LOD_vs_CN",27,"study_3_Soma"
"ADGRB2",0.24008002396214,0.177523930139158,1.82893488408767,0.188434212713169,0.770545398613304,"LOD_vs_CN",27,"study_3_Soma"
"LTBP4",-0.0414815884044017,0.107853001803515,0.147926602188889,0.704056239948056,0.960643215713691,"LOD_vs_CN",27,"study_3_Soma"
"CADM1",0.16990059608289,0.136253869476561,1.55486295245039,0.22663333112178,0.8198617425618,"LOD_vs_CN",27,"study_3_Soma"
"APOD",-0.0969643725235461,0.160237113449061,0.366182982027463,0.553122199512725,0.91950222461731,"LOD_vs_CN",27,"study_3_Soma"
"SPON1",0.346342539063691,0.11521969930956,9.03562499084478,0.0060328508037038,0.182009970474007,"LOD_vs_CN",27,"study_3_Soma"
"SERPINF2",-0.438469242042446,0.220107251076212,3.96834633115078,0.0696447057228544,0.565288753557585,"LOD_vs_CN",27,"study_3_Soma"
"PCSK1",0.0678617717732202,0.209438731083126,0.104987209499501,0.748681347438428,0.968214902910038,"LOD_vs_CN",27,"study_3_Soma"
"CPB2",-0.220563276406409,0.163936324797701,1.81015606459616,0.199292746046244,0.786159435950593,"LOD_vs_CN",27,"study_3_Soma"
"SPARC",-0.00590782867641337,0.0496167544481232,0.0141774811928703,0.906172851507024,0.983156052199967,"LOD_vs_CN",27,"study_3_Soma"
"LYVE1",0.0375185732045313,0.159691554078912,0.0551986852634528,0.816516929644363,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"IGHG4",0.00100522594327046,0.0903966933416782,0.000123658019893818,0.991215846023718,0.998942154264497,"LOD_vs_CN",27,"study_3_Soma"
"CNDP1",0.0381182661574115,0.0666450093464772,0.327138011796516,0.573016555532889,0.925543460543702,"LOD_vs_CN",27,"study_3_Soma"
"EFNB2",0.0844338713409112,0.118908321429867,0.504207043089794,0.484409304567074,0.910735020939784,"LOD_vs_CN",27,"study_3_Soma"
"PRRT2",0.31577098650996,0.151010946103793,4.37247757538603,0.0470540631364559,0.47923214621142,"LOD_vs_CN",27,"study_3_Soma"
"RNASET2",0.196611407777663,0.143050190776956,1.88903734195182,0.18436361875594,0.770545398613304,"LOD_vs_CN",27,"study_3_Soma"
"PLTP",-0.0242362711005981,0.0287196995424982,0.712150558570452,0.407348562365899,0.901472887292334,"LOD_vs_CN",27,"study_3_Soma"
"ATRN",0.00277131166547306,0.129627785063555,0.000457061393148924,0.983182901331017,0.996178780960351,"LOD_vs_CN",27,"study_3_Soma"
"LGALS1",0.0180464884232698,0.103923843632371,0.0301547000540136,0.86353838727822,0.977829921949816,"LOD_vs_CN",27,"study_3_Soma"
"OMG",0.00757533531567134,0.0333066198067095,0.0517300148744806,0.822175999833061,0.976515831849209,"LOD_vs_CN",27,"study_3_Soma"
"AHSG",0.659727523294542,0.350452344808884,3.54381682343463,0.0752736965418722,0.588570370515665,"LOD_vs_CN",27,"study_3_Soma"
"IGFBP6",-0.0907117488550639,0.0299629926247481,9.16551146565259,0.00673359739771672,0.195764040708164,"LOD_vs_CN",27,"study_3_Soma"
"CFHR2",-0.274025563752073,0.164019814575624,2.79119081053068,0.113990020317565,0.678845595857678,"LOD_vs_CN",27,"study_3_Soma"
"CPE",0.170204651934808,0.113164128214115,2.26217025404678,0.149204320196022,0.732857404838999,"LOD_vs_CN",27,"study_3_Soma"
