"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.105883632019943,0.0635702095312261,2.77428053206755,0.125062312138911,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"MT3",0.090458933286782,0.104659602616844,0.747041556415995,0.412745557652954,0.791332862258767,"EOAD_vs_LOAD",56,"study_4"
"NFASC",-0.0828567792823112,0.0680998615514684,1.48034737450126,0.259769290790466,0.715311063596449,"EOAD_vs_LOAD",56,"study_4"
"ALDOA",0.364151595415827,0.162032808927356,5.05078070192151,0.0619576816745332,0.60601171904729,"EOAD_vs_LOAD",56,"study_4"
"LSAMP",-0.0392523180543805,0.0557990516201568,0.494853883920957,0.499452757749843,0.801711220831931,"EOAD_vs_LOAD",56,"study_4"
"PARK7",0.0160661364883019,0.0775756188852874,0.0428916157154799,0.841545686546377,0.95198250604229,"EOAD_vs_LOAD",56,"study_4"
"YWHAZ",0.292163761349329,0.118086653016955,6.12140434338502,0.0423472295994016,0.600667895777266,"EOAD_vs_LOAD",56,"study_4"
"CXCL16",0.0854906600264966,0.101217342243875,0.713390762000751,0.422860807170839,0.794925891834895,"EOAD_vs_LOAD",50,"study_4"
"SELENBP1",0.0396830675914748,0.103141805103001,0.148027027367388,0.710325085064835,0.896802853425711,"EOAD_vs_LOAD",56,"study_4"
"PROCR",0.163394571783023,0.162668629509113,1.00894532780645,0.356541772240392,0.763919943605619,"EOAD_vs_LOAD",49,"study_4"
"NCAN",-0.0422361183979092,0.126562928799049,0.111366600958879,0.747917893130172,0.913939227649177,"EOAD_vs_LOAD",56,"study_4"
"NICOL1",-0.0489500454320018,0.0987078814640837,0.245924918805845,0.630667297704473,0.867749294397032,"EOAD_vs_LOAD",56,"study_4"
"DPP7",-0.166438365322318,0.179725447955371,0.857605848269451,0.382669271106719,0.773765629215107,"EOAD_vs_LOAD",56,"study_4"
"ICOSLG",0.0163512767411529,0.0740952696849846,0.0486992610834917,0.83031152923546,0.945308611783466,"EOAD_vs_LOAD",52,"study_4"
"PAPLN",0.106476815729579,0.0951969211346142,1.25102014821084,0.295814820693906,0.749833119949344,"EOAD_vs_LOAD",56,"study_4"
"FOLR2",-0.0472245500428201,0.103773715912911,0.207090854908978,0.660438256061728,0.879191937076047,"EOAD_vs_LOAD",56,"study_4"
"GC",0.238874940153639,0.155050698911898,2.37352453893795,0.160859348197002,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"HBA1",2.29202172147417,0.919006358681692,6.22014380848627,0.0373752857417225,0.593733110639934,"EOAD_vs_LOAD",56,"study_4"
"IGLV3-19",0.225768746649777,0.270192582437415,0.698201535500941,0.433858502414565,0.794925891834895,"EOAD_vs_LOAD",51,"study_4"
"FBLN5",-0.111856948027576,0.0703971374000881,2.52473576445764,0.153044403581868,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"LAMP2",0.0013889749490259,0.0837316211211484,0.000275175539649256,0.987118139059789,0.998190012058198,"EOAD_vs_LOAD",40,"study_4"
"NUCB2",0.0510417084730399,0.112543271241649,0.2056891277689,0.661712676226661,0.879191937076047,"EOAD_vs_LOAD",56,"study_4"
"PDGFB",0.0564012178826196,0.166708450188238,0.114462106878132,0.753562585612391,0.915805022077572,"EOAD_vs_LOAD",43,"study_4"
"ITIH2",0.378811428145379,0.242694274237757,2.43627935092094,0.158121183565054,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"CSF1R",-0.0059046211390692,0.0892137676402137,0.00438046598780116,0.948862681062989,0.989807974992536,"EOAD_vs_LOAD",56,"study_4"
"PGLYRP2",0.328608625417224,0.215945006044385,2.31564290389588,0.170102872085448,0.647311526774961,"EOAD_vs_LOAD",56,"study_4"
"IGHM",0.388314389948825,0.3989189800566,0.947540036772975,0.360780306728499,0.765625383744448,"EOAD_vs_LOAD",56,"study_4"
"LAMA2",0.0729435841627559,0.0450050307690008,2.62695160554131,0.135565649414355,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"APLP2",-0.126370271958924,0.0991088050636326,1.625793415555,0.236542820759365,0.693778116414736,"EOAD_vs_LOAD",56,"study_4"
"AGA",0.149367783519806,0.190805675531023,0.612817693128117,0.459906781131027,0.801479164044078,"EOAD_vs_LOAD",55,"study_4"
"CFI",0.311345714695237,0.143096348622668,4.73400465900892,0.0610902245076948,0.60601171904729,"EOAD_vs_LOAD",56,"study_4"
"CD44",0.0277679325490041,0.0948111526829382,0.0857764835614882,0.777650876187786,0.93169790078502,"EOAD_vs_LOAD",56,"study_4"
"IGSF8",0.083962184590689,0.0290476842282349,8.35496105991236,0.0116088014848095,0.497122262471665,"EOAD_vs_LOAD",56,"study_4"
"CNTNAP4",-0.0260454509312922,0.132389394545831,0.0387041353460332,0.849326282254604,0.953187790151035,"EOAD_vs_LOAD",56,"study_4"
"C1QC",0.0994015144528362,0.0564225053040087,3.10371096403919,0.113158822909762,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"C1R",-0.00384333053717967,0.0688990728830061,0.00311163549699583,0.956865995543704,0.993575305777981,"EOAD_vs_LOAD",56,"study_4"
"CPN2",0.494508848998567,0.212933206348,5.39338406273967,0.047931537832037,0.605680341695741,"EOAD_vs_LOAD",56,"study_4"
"AMBP",0.190494543879199,0.188027394079907,1.02641461714257,0.341822210339949,0.75689666770132,"EOAD_vs_LOAD",56,"study_4"
"C5",0.412442047819628,0.19132998784083,4.6468620639685,0.061731738043462,0.60601171904729,"EOAD_vs_LOAD",56,"study_4"
"HEXA",-0.0736637406308276,0.0867457741302919,0.721125549316963,0.416053983494019,0.792149342852737,"EOAD_vs_LOAD",56,"study_4"
"DBI",0.0402986380843435,0.0966622371164617,0.173806916228617,0.688368622420764,0.894874036010094,"EOAD_vs_LOAD",56,"study_4"
"C1QA",0.00864845185344176,0.0723465418533052,0.0142902948770866,0.907484605642982,0.972056076817729,"EOAD_vs_LOAD",56,"study_4"
"NRXN3",-0.131313899392355,0.0773992188762059,2.87838074297858,0.126779713120505,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"IGHV3-30",0.140798032778955,0.232320777477421,0.367296736005679,0.563334642535276,0.839580496161935,"EOAD_vs_LOAD",56,"study_4"
"C6",0.38687008677862,0.161670895587097,5.72620133036165,0.0395286052243285,0.600667895777266,"EOAD_vs_LOAD",56,"study_4"
"CLEC3B",0.162740992661169,0.0600041587560794,7.35582212131274,0.0267062997356285,0.5823020648239,"EOAD_vs_LOAD",56,"study_4"
"SPARCL1",-0.0204392313426656,0.103717025851075,0.0388355096868369,0.849168440624302,0.953187790151035,"EOAD_vs_LOAD",56,"study_4"
"GAP43",0.0765837359894039,0.0716643394156532,1.14200207621562,0.300209177271887,0.749833119949344,"EOAD_vs_LOAD",56,"study_4"
"MCAM",-0.112128195449889,0.0710556420431824,2.49019025753658,0.140517959795568,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"SCG2",-0.193181754981076,0.102629441949604,3.5431397267464,0.0944753758732196,0.642164481092878,"EOAD_vs_LOAD",56,"study_4"
"LMAN1",0.029645915618099,0.082290221525443,0.129787621435488,0.723702143770077,0.904843515461763,"EOAD_vs_LOAD",56,"study_4"
"ADGRB2",-0.163913282801631,0.101922712878344,2.58634434989652,0.133428781752579,0.642164481092878,"EOAD_vs_LOAD",49,"study_4"
"LTBP4",-0.0744038648828864,0.0928246195456139,0.642487429625793,0.446439646305731,0.794925891834895,"EOAD_vs_LOAD",56,"study_4"
"IGHG3",0.0732219350385108,0.372675336423513,0.0386030037718411,0.849614373818635,0.953187790151035,"EOAD_vs_LOAD",56,"study_4"
"PON1",0.281244944439194,0.219824864113433,1.63687615492343,0.228197240036888,0.685825218705459,"EOAD_vs_LOAD",56,"study_4"
"AXL",0.0814310869272701,0.074128669482664,1.20672428571448,0.302445205387814,0.749833119949344,"EOAD_vs_LOAD",40,"study_4"
"CADM1",-0.0439225009110302,0.0596667706903215,0.541887401642904,0.47964748113557,0.801479164044078,"EOAD_vs_LOAD",56,"study_4"
"APOD",0.0558386480521378,0.100366907331729,0.309519991754447,0.592711140197183,0.861561814247408,"EOAD_vs_LOAD",56,"study_4"
"SPON1",-0.0295647631041405,0.0605959604438495,0.238046313437459,0.637908731742365,0.868242973925961,"EOAD_vs_LOAD",56,"study_4"
"MGAT1",-0.0764349979642889,0.162085814164023,0.222379373836436,0.65217259702615,0.876923733848947,"EOAD_vs_LOAD",56,"study_4"
"SERPINF2",0.294731701788594,0.146056524707311,4.07203758561282,0.0742439891083305,0.623861198374474,"EOAD_vs_LOAD",56,"study_4"
"CP",0.358916324088378,0.15217282581363,5.56304036940111,0.0464545315079541,0.600667895777266,"EOAD_vs_LOAD",56,"study_4"
