"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.134897846179882,0.0399504102800923,11.4016457620691,0.000989209372376807,0.00193598880326661,"EODSD_vs_CN",144,"study_4"
"MT3",-0.0488511666832157,0.0517894558791458,0.889748335071869,0.347329175145266,0.403584161715293,"EODSD_vs_CN",144,"study_4"
"NFASC",-0.218001774089387,0.0319126610053121,46.6652952508982,3.27731874400769e-10,1.61972375259402e-09,"EODSD_vs_CN",144,"study_4"
"ALDOA",0.500813021115764,0.0506804755893232,97.6494632870541,7.16155581256224e-17,1.20661364599533e-15,"EODSD_vs_CN",144,"study_4"
"LSAMP",-0.170650830722877,0.0328985295053652,26.9069109134517,8.73425220968766e-07,2.70542853960242e-06,"EODSD_vs_CN",144,"study_4"
"PARK7",0.0803950846036194,0.0325173264071231,6.11264722314263,0.014931399612822,0.0240285330961766,"EODSD_vs_CN",144,"study_4"
"YWHAZ",0.967591814203542,0.047177323724229,420.646974887661,1.02425674820883e-40,1.13897350400822e-37,"EODSD_vs_CN",144,"study_4"
"CXCL16",0.137935451930374,0.0448433789780281,9.46139437179564,0.00257106491607159,0.00470234241228883,"EODSD_vs_CN",130,"study_4"
"SELENBP1",-0.0164969762785674,0.0417263571355165,0.156310358128743,0.693175051412869,0.740452120241221,"EODSD_vs_CN",144,"study_4"
"PROCR",0.0719986327772872,0.0639211036163041,1.26870300848076,0.263563687733848,0.318568283434824,"EODSD_vs_CN",97,"study_4"
"NCAN",-0.205823762446618,0.0514920006530466,15.9775981266566,0.000105656716250684,0.000241253118009775,"EODSD_vs_CN",144,"study_4"
"NICOL1",-0.380169762400461,0.0617076465792019,37.9557148937956,9.99965412867945e-09,4.16464995921032e-08,"EODSD_vs_CN",144,"study_4"
"DPP7",0.065800087585755,0.0603146285875123,1.19016624209217,0.277149037534522,0.332101001873264,"EODSD_vs_CN",144,"study_4"
"ICOSLG",0.356842049041071,0.0500604994720253,50.8114621285044,6.02121679328061e-11,3.45133663614847e-10,"EODSD_vs_CN",134,"study_4"
"PAPLN",0.07414792086304,0.0353339266399593,4.40366374235528,0.037636927574246,0.0559522238804299,"EODSD_vs_CN",144,"study_4"
"FOLR2",0.149199761176686,0.0460460906850168,10.4990674782415,0.0015008513867081,0.00285290041370839,"EODSD_vs_CN",144,"study_4"
"GC",0.155727694571921,0.0734952843864001,4.48965282292227,0.0359516797570913,0.0538065516687558,"EODSD_vs_CN",144,"study_4"
"HBA1",0.851144760091167,0.358260980729785,5.64427075722284,0.0189312259203666,0.0299027318514882,"EODSD_vs_CN",144,"study_4"
"IGLV3-19",0.805668907116831,0.139599640608981,33.3076970863616,1.0246394439749e-07,3.64025259329101e-07,"EODSD_vs_CN",112,"study_4"
"FBLN5",0.208915372736481,0.0279569858856527,55.8418890978894,7.74917692231575e-12,5.41955014944346e-11,"EODSD_vs_CN",144,"study_4"
"LAMP2",0.0818040239297382,0.064562605146996,1.6054147243141,0.208359092495319,0.259167014378965,"EODSD_vs_CN",97,"study_4"
"NUCB2",0.0919164608108591,0.0526336484177262,3.04971767811816,0.0830252694948431,0.11392060965419,"EODSD_vs_CN",144,"study_4"
"PDGFB",-0.123233569021522,0.0587501828286876,4.39986760026741,0.039217576131574,0.0578381228890057,"EODSD_vs_CN",100,"study_4"
"ITIH2",0.345289356521571,0.088344033602965,15.2760803602429,0.00014934349785336,0.000328851424976111,"EODSD_vs_CN",144,"study_4"
"CSF1R",-0.202615752440543,0.0436231786868571,21.5730622804468,8.03077092053909e-06,2.15705731005784e-05,"EODSD_vs_CN",139,"study_4"
"PGLYRP2",-0.126271478705372,0.0869822608285768,2.10741054802986,0.148896066271076,0.193200029980672,"EODSD_vs_CN",144,"study_4"
