"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"UBA52",0.131460725580625,0.0377383463784737,12.1346238160602,0.000666428707740427,0.00134985195447606,"EOD_vs_CN",151,"study_4"
"MT3",-0.0416380793716895,0.0494800184276654,0.708144150413268,0.401478466707856,0.4621574068107,"EOD_vs_CN",151,"study_4"
"NFASC",-0.214517366012174,0.0304827516065761,49.5240983241868,8.09869791082203e-11,4.81465444372365e-10,"EOD_vs_CN",151,"study_4"
"ALDOA",0.504644872378329,0.0490437066870016,105.877860496489,2.69568866997712e-18,6.51653435003166e-17,"EOD_vs_CN",151,"study_4"
"LSAMP",-0.166293727199944,0.0311597570589474,28.4815492417749,3.85276959308271e-07,1.27129964021008e-06,"EOD_vs_CN",151,"study_4"
"PARK7",0.0864187478196712,0.0310163977528515,7.763065020188,0.0061583814316035,0.0105193857940754,"EOD_vs_CN",151,"study_4"
"YWHAZ",0.957308900891503,0.0453008731372174,446.571546468884,3.35312062256893e-44,3.72867013229665e-41,"EOD_vs_CN",151,"study_4"
"CXCL16",0.139010170453532,0.0433411853346347,10.2870673328989,0.00167576226014629,0.00316374810404529,"EOD_vs_CN",136,"study_4"
"SELENBP1",-0.0255516018269937,0.0406425734542585,0.395251806688499,0.53051425735834,0.588167352126096,"EOD_vs_CN",151,"study_4"
"PROCR",0.0855169983883082,0.062795086111978,1.85461418500429,0.176709199291848,0.22380481732635,"EOD_vs_CN",103,"study_4"
"NCAN",-0.197108708823304,0.04975575117787,15.6936893446604,0.000116291847490853,0.000266632029710987,"EOD_vs_CN",151,"study_4"
"NICOL1",-0.364790288650091,0.0585359499256204,38.8365993941228,5.46368652523791e-09,2.34579900234153e-08,"EOD_vs_CN",151,"study_4"
"DPP7",0.0531756633181839,0.0593880539059497,0.801729093861268,0.372021874171627,0.430925337582134,"EOD_vs_CN",151,"study_4"
"ICOSLG",0.320926142520966,0.0510105824640915,39.581261076043,3.97073489538448e-09,1.75216555701093e-08,"EOD_vs_CN",139,"study_4"
"PAPLN",0.0698987988938651,0.0345339614347718,4.09681758387255,0.0447541007660001,0.0658287831372912,"EOD_vs_CN",151,"study_4"
"FOLR2",0.125872158399917,0.0451213543917535,7.78206948483096,0.00597763298594501,0.0102263505851859,"EOD_vs_CN",151,"study_4"
"GC",0.172825390465226,0.0707376121898495,5.96917487128714,0.0157516647653732,0.0253485545862445,"EOD_vs_CN",151,"study_4"
"HBA1",1.00162532196914,0.35791738558392,7.83150089329281,0.00587602208518593,0.0100835440721092,"EOD_vs_CN",151,"study_4"
"IGLV3-19",0.760975255669245,0.133324830492771,32.5775927590953,1.05083797586292e-07,3.78165640504713e-07,"EOD_vs_CN",118,"study_4"
"FBLN5",0.184890342950125,0.0285163639882058,42.0378171716747,1.27048909792381e-09,6.08958567625551e-09,"EOD_vs_CN",151,"study_4"
"LAMP2",0.0728001029750605,0.0625143548237478,1.35613985795894,0.247287872324099,0.30118741952289,"EOD_vs_CN",103,"study_4"
"NUCB2",0.0840442389632372,0.0506143966010763,2.75719682859006,0.0989497194536376,0.133350998518662,"EOD_vs_CN",151,"study_4"
"PDGFB",-0.112456011554488,0.0568169043774376,3.91751093316228,0.0509785133367827,0.0735254303897566,"EOD_vs_CN",104,"study_4"
"ITIH2",0.366675113361326,0.0856653731235406,18.3211296563636,3.42127298627335e-05,8.5301694186905e-05,"EOD_vs_CN",151,"study_4"
"CSF1R",-0.178791580114493,0.0428718330859835,17.3920197046131,5.24136995705833e-05,0.000127815863865107,"EOD_vs_CN",146,"study_4"
"PGLYRP2",-0.082094103205506,0.0855978376485329,0.919810448190055,0.339110574187586,0.397775272675733,"EOD_vs_CN",151,"study_4"
"IGHM",0.535045868140015,0.146795191948027,13.2849023611842,0.000368958748240905,0.000769760090138623,"EOD_vs_CN",151,"study_4"
"LAMA2",0.0588324265764406,0.025747057268238,5.22129612618112,0.0237432362512731,0.0366701093214107,"EOD_vs_CN",151,"study_4"
"APLP2",-0.185718889679597,0.0457168374341682,16.5028821470747,7.85096144955728e-05,0.000184182893078221,"EOD_vs_CN",151,"study_4"
"AGA",-0.374016846482055,0.0568954512181616,43.2142754955876,1.0973286527585e-09,5.30413559519588e-09,"EOD_vs_CN",144,"study_4"
"CFI",0.323850706088013,0.0625259881855921,26.8267812592646,7.50361725239345e-07,2.35706847024337e-06,"EOD_vs_CN",151,"study_4"
"CD44",-0.0107587468425407,0.0324850710521957,0.109687145622904,0.740966228304251,0.779521708490376,"EOD_vs_CN",151,"study_4"
"IGSF8",-0.0813068295131316,0.0235884578980509,11.881053556314,0.000737186886146968,0.0014877528446378,"EOD_vs_CN",151,"study_4"
"CNTNAP4",-0.236371446403428,0.048491385384445,23.7607881164198,2.76482656730485e-06,8.06825497139347e-06,"EOD_vs_CN",151,"study_4"
"C1QC",0.128214693435474,0.0316775455555704,16.3822122452111,8.45086976924013e-05,0.00019659763981998,"EOD_vs_CN",151,"study_4"
"C1R",0.197733830865269,0.0258248371236616,58.625529541477,2.22554138320392e-12,1.79333479574113e-11,"EOD_vs_CN",151,"study_4"
"CPN2",0.209958974447858,0.0821042945151675,6.53938848221322,0.0115585333504335,0.0190134453930208,"EOD_vs_CN",151,"study_4"
"AMBP",0.495800376655347,0.0745628587107998,44.2148956136726,7.54966342910815e-10,3.69762268729554e-09,"EOD_vs_CN",151,"study_4"
"C5",0.442908505117437,0.0803379122774771,30.3939368554203,1.65132594573904e-07,5.88549503737759e-07,"EOD_vs_CN",151,"study_4"
"HEXA",0.081097618633029,0.0403763712449709,4.03423909333562,0.0464347746639581,0.0674713432035902,"EOD_vs_CN",151,"study_4"
"DBI",-0.0902278641029906,0.0320392712530821,7.93078350964732,0.00552815569461451,0.00955539452940599,"EOD_vs_CN",151,"study_4"
"C1QA",0.125927638064605,0.0279866702157175,20.2460196879526,1.36586427463065e-05,3.57374370209243e-05,"EOD_vs_CN",151,"study_4"
"NRXN3",-0.327603127750455,0.0429024792817397,58.3084233661351,4.01562378120323e-12,3.10095391992916e-11,"EOD_vs_CN",151,"study_4"
"IGHV3-30",0.689054905694128,0.0895460349671404,59.2127099034114,1.87647888897241e-12,1.53429744451274e-11,"EOD_vs_CN",151,"study_4"
"C6",0.501313821783775,0.0751313634466446,44.5222205809844,4.79051135973875e-10,2.42138574183159e-09,"EOD_vs_CN",151,"study_4"
"CLEC3B",0.271449571412058,0.0295750488517061,84.2417498346289,3.90920295900121e-16,6.0375467922352e-15,"EOD_vs_CN",151,"study_4"
"SPARCL1",-0.165078966114658,0.0337792112761762,23.8827576019389,2.71527893240037e-06,7.96672868820372e-06,"EOD_vs_CN",151,"study_4"
"GAP43",0.477373647177803,0.0542484741892122,77.4358065361381,6.90959794777397e-15,8.63311563811759e-14,"EOD_vs_CN",151,"study_4"
"MCAM",-0.552882986892744,0.040092643940394,190.167833257046,4.07335932683046e-28,7.54929261905911e-26,"EOD_vs_CN",151,"study_4"
"SCG2",-0.412179938892276,0.0464362423198534,78.7879069612916,4.30896685314926e-15,5.57159434965347e-14,"EOD_vs_CN",151,"study_4"
"LMAN1",-0.15279619792938,0.0380314252050723,16.1413514682167,9.43615326628679e-05,0.000218604217335644,"EOD_vs_CN",151,"study_4"
"ADGRB2",-0.349383809707429,0.0589299393781881,35.1506664463257,2.5659337707454e-08,9.90735539260031e-08,"EOD_vs_CN",140,"study_4"
"LTBP4",0.204407953940295,0.041565752266723,24.1837860719407,2.48257392364605e-06,7.34208032737875e-06,"EOD_vs_CN",151,"study_4"
"IGHG3",1.12849915783788,0.111549293578491,102.345518367141,1.62521594610203e-18,4.10736393651241e-17,"EOD_vs_CN",151,"study_4"
"PON1",0.122047571638936,0.113591932811294,1.15441857716365,0.284373927646834,0.339660373301052,"EOD_vs_CN",151,"study_4"
"AXL",-0.0240301386469737,0.0364804792170651,0.433901831941078,0.51143027414775,0.569279744596895,"EOD_vs_CN",122,"study_4"
"CADM1",-0.307359129026844,0.0370449606725926,68.838905640643,1.04554368529943e-13,1.05694961641178e-12,"EOD_vs_CN",151,"study_4"
"APOD",0.215054225689135,0.0509329727322549,17.8278065001364,4.35032786716006e-05,0.000107025765227477,"EOD_vs_CN",151,"study_4"
"SPON1",0.165899098155286,0.0226943090468303,53.4384829903094,1.58260676074646e-11,1.11383463161397e-10,"EOD_vs_CN",151,"study_4"
"MGAT1",-0.0721829304684363,0.0404717892484232,3.18100395605678,0.0765345531299873,0.106250216080582,"EOD_vs_CN",151,"study_4"
"SERPINF2",0.153115112964738,0.0677247355384298,5.11141899545616,0.0252863712957131,0.0388913483828948,"EOD_vs_CN",151,"study_4"
"CP",0.180687269195463,0.0612137931380719,8.71277553135469,0.0036738829331617,0.00651572220362968,"EOD_vs_CN",151,"study_4"
"PCSK1",-0.814855333124912,0.0944562693004776,74.4216762532829,1.88969241166814e-13,1.76583021997897e-12,"EOD_vs_CN",133,"study_4"
"CPB2",0.432654267245802,0.0724204646069489,35.6910536934872,1.7269673962801e-08,6.85852765951239e-08,"EOD_vs_CN",151,"study_4"
"SPARC",0.0124460886553663,0.0370594944319608,0.112789013904639,0.737473133796735,0.777829944699801,"EOD_vs_CN",151,"study_4"
"LYVE1",-0.449502440453173,0.0472214868381258,90.6118074001995,4.75874232190633e-17,8.39955787612673e-16,"EOD_vs_CN",151,"study_4"
"IGKC",0.674178924956697,0.0825259716522814,66.7373644373599,1.22502036914914e-13,1.22722761305752e-12,"EOD_vs_CN",151,"study_4"
"IGHG4",-0.703839662608135,0.234452569895234,9.01233813842791,0.00314717471817823,0.00562646026786847,"EOD_vs_CN",151,"study_4"
"CNDP1",-0.0139307023655508,0.0415615545555312,0.112347253558735,0.737959165160333,0.777829944699801,"EOD_vs_CN",151,"study_4"
"EFNB2",-0.20073668121674,0.0334034780752445,36.1135432371013,1.74411460561113e-08,6.90197665992733e-08,"EOD_vs_CN",151,"study_4"
"PRRT2",0.226772365296724,0.0682372752174383,11.0442672300346,0.00131411448799261,0.00253257419523012,"EOD_vs_CN",87,"study_4"
"RNASET2",0.044944396017776,0.0358256201829867,1.57385117483217,0.211617689847727,0.263514973248233,"EOD_vs_CN",151,"study_4"
"PNOC",-0.442025224062893,0.0617492446616645,51.2425586530594,3.46539896679941e-11,2.2274703185439e-10,"EOD_vs_CN",151,"study_4"
"PLTP",0.037049146114672,0.0308949136744106,1.43807797231769,0.232391767905249,0.285231397252359,"EOD_vs_CN",151,"study_4"
"ATRN",0.0138810755767089,0.0323398165130149,0.184234574020696,0.668382587417019,0.713968719700024,"EOD_vs_CN",151,"study_4"
"LGALS1",0.0447171218121785,0.0321732388563385,1.93178201740937,0.166901067475225,0.213081500611309,"EOD_vs_CN",151,"study_4"
"OMG",-0.107279216778899,0.0416929962538793,6.62071624459405,0.0110766858677191,0.0182748882565337,"EOD_vs_CN",151,"study_4"
"FAT2",-0.583650743386967,0.0572178260945358,104.050310177751,8.46484158666735e-19,2.2958302059449e-17,"EOD_vs_CN",151,"study_4"
"AHSG",-0.0665866727301161,0.0758435812404764,0.770791585616436,0.381466086384192,0.441405086429991,"EOD_vs_CN",151,"study_4"
"IGFBP6",0.281059239748481,0.0469234875598692,35.8769212826671,1.61139468049687e-08,6.44557872198748e-08,"EOD_vs_CN",151,"study_4"
"CFHR2",0.47072777852901,0.100924316710501,21.7544455805132,6.87320857049676e-06,1.86414827570546e-05,"EOD_vs_CN",151,"study_4"
"IGHV3-72",-0.33132192507192,0.156724380863193,4.46917361831531,0.0365346608989482,0.0546055684403634,"EOD_vs_CN",132,"study_4"
"NPPC",-0.138240685781061,0.0337449510978179,16.7824032794576,7.21686918772417e-05,0.000170792376920306,"EOD_vs_CN",136,"study_4"
"CPE",-0.337118301811307,0.0326693564559769,106.483790447977,3.59019272724845e-19,1.07899846289197e-17,"EOD_vs_CN",151,"study_4"
"HSPA8",0.160185887776185,0.0404129273311641,15.7111467495496,0.000116034708272168,0.000266592139666634,"EOD_vs_CN",151,"study_4"
"C4BPA",0.73621275709156,0.103621304633919,50.4787469107456,8.13988341205078e-11,4.81465444372365e-10,"EOD_vs_CN",151,"study_4"
"VTN",0.0379008956318856,0.0731635769626342,0.268354625740506,0.605207996758494,0.660442877718789,"EOD_vs_CN",151,"study_4"
"SEMA6A",-0.109698807826523,0.0380564469108754,8.30897282519136,0.00455666236574785,0.00800475284472607,"EOD_vs_CN",151,"study_4"
