"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"MT3",-0.011414812905,0.065572611820777,0.0303034887468175,0.86288161174132,0.944743482694654,"EOD_vs_LOD",161,"study_6"
"NFASC",-0.0322947659320588,0.0417598024413928,0.598063656197585,0.444173668490122,0.699136349064374,"EOD_vs_LOD",161,"study_6"
"ALDOA",-0.0997712325408824,0.0523012483563894,3.63903778337765,0.0654921759260087,0.23378367799302,"EOD_vs_LOD",161,"study_6"
"LSAMP",-0.0813887982908824,0.0417310172102116,3.80374443884819,0.0599542582594728,0.222766844350718,"EOD_vs_LOD",161,"study_6"
"PARK7",-0.0978400819152941,0.0330900008000899,8.74258895583438,0.00538614954508048,0.0406298601532675,"EOD_vs_LOD",161,"study_6"
"YWHAZ",-0.345094523529706,0.0535303103209232,41.5601027453011,2.50898263317029e-07,3.85804329515954e-05,"EOD_vs_LOD",161,"study_6"
"CXCL16",-0.0831574719116161,0.0942024407710568,0.779252572517998,0.386881438321185,0.651208254737952,"EOD_vs_LOD",106,"study_6"
"CST7",-0.0246594503111111,0.0951534477238637,0.0671610883314688,0.799296223552384,0.916691423339768,"EOD_vs_LOD",69,"study_6"
"SELENBP1",0.0363044705820588,0.0495428853188621,0.53697939880271,0.468897754294213,0.714727208826569,"EOD_vs_LOD",161,"study_6"
"PROCR",-0.0882023220132353,0.0506901338489064,3.027702232279,0.0899955451072034,0.277625146094598,"EOD_vs_LOD",161,"study_6"
"NCAN",0.171465544580588,0.0734390451891483,5.4512949741749,0.0260636549374848,0.126767022433168,"EOD_vs_LOD",161,"study_6"
"NICOL1",0.0649478533779412,0.0818510995561261,0.629622975291068,0.433282453261538,0.692453490684321,"EOD_vs_LOD",161,"study_6"
"DPP7",-0.00663225265617645,0.0635858838744929,0.0108792936576577,0.917378780214005,0.966703262719543,"EOD_vs_LOD",161,"study_6"
"ICOSLG",-0.257169152794118,0.0606532803763743,17.9774943027478,0.000155702628892744,0.00314393490057168,"EOD_vs_LOD",161,"study_6"
"PAPLN",-0.113405255335882,0.0517968348957566,4.79357930242383,0.0360636257258383,0.155368939280066,"EOD_vs_LOD",161,"study_6"
"FOLR2",-0.105851216768235,0.0430205358582806,6.05396740097448,0.0182063289565065,0.0970518708908173,"EOD_vs_LOD",161,"study_6"
"GC",0.042018937185,0.0907398969291426,0.214433958748754,0.646049367853186,0.83659298792266,"EOD_vs_LOD",161,"study_6"
"HBA1",-0.0282587450979412,0.307843688323233,0.00842646141508505,0.927403949728463,0.969334930776708,"EOD_vs_LOD",161,"study_6"
"IGLV3-19",-0.0566861464779412,0.103342218349029,0.300883456503825,0.58628442529316,0.798353246703696,"EOD_vs_LOD",161,"study_6"
"FBLN5",-0.133275955292353,0.0421229565265761,10.0107338821655,0.00318301054455689,0.0284219574936227,"EOD_vs_LOD",161,"study_6"
"LAMP2",-0.289169348805882,0.0479953565214248,36.2999535935653,8.16127015895814e-07,7.09320828163362e-05,"EOD_vs_LOD",161,"study_6"
"NUCB2",0.303962714982941,0.0648001563062582,22.0033356127327,5.18504066262543e-05,0.00154699944546093,"EOD_vs_LOD",161,"study_6"
"PDGFB",-0.0190165744822443,0.049448955818118,0.147893922253763,0.703277944729175,0.868346270236949,"EOD_vs_LOD",150,"study_6"
"ITIH2",-0.0205476338141176,0.121669866954478,0.0285205284726028,0.866834601127972,0.946369397954569,"EOD_vs_LOD",161,"study_6"
"CSF1R",0.0759353950329412,0.0552655774279637,1.88790044650305,0.179201994252852,0.420451627360858,"EOD_vs_LOD",161,"study_6"
"PGLYRP2",-0.118985249026176,0.0976340530630964,1.48519545263178,0.230777977618215,0.497158872591984,"EOD_vs_LOD",161,"study_6"
"IGHM",0.199553195511176,0.243749825456591,0.670237536259271,0.418864144808781,0.681246647928337,"EOD_vs_LOD",161,"study_6"
"LAMA2",0.00782888295382353,0.0343083323788026,0.0520715352770565,0.820938373797916,0.924017910597993,"EOD_vs_LOD",161,"study_6"
"APLP2",0.0494944623376471,0.0675371852533322,0.537065566065626,0.468924851083021,0.714727208826569,"EOD_vs_LOD",161,"study_6"
"AGA",-0.0233873403197059,0.0793142369360796,0.086947954601531,0.770048850778209,0.9060353722441,"EOD_vs_LOD",161,"study_6"
"CFI",-0.0274084958808823,0.0830673796666153,0.10887029108561,0.743445003844947,0.890244276238121,"EOD_vs_LOD",161,"study_6"
"CD44",-0.225883616977647,0.0517414833468638,19.0586316477525,9.51712149477693e-05,0.0023036947525585,"EOD_vs_LOD",161,"study_6"
"IGSF8",-0.109851589742647,0.0340639739651578,10.3997300971641,0.0026948645336347,0.0251730570221297,"EOD_vs_LOD",161,"study_6"
"CNTNAP4",-0.0405369226570588,0.0543671179417924,0.555941289716296,0.460138012378074,0.711104851059986,"EOD_vs_LOD",161,"study_6"
"C1QC",-0.0709786295558824,0.0566105220407643,1.57203025452547,0.216901602518745,0.478044435981224,"EOD_vs_LOD",161,"study_6"
"C1R",-0.0937207067214706,0.0354893882301062,6.97387379350753,0.0117754989480604,0.0690299777043191,"EOD_vs_LOD",161,"study_6"
"CPN2",0.0214152436255882,0.123736424555412,0.0299537301898913,0.863706863050203,0.9450191676176,"EOD_vs_LOD",161,"study_6"
"AMBP",-0.231280830322647,0.0942786114664564,6.01801021280053,0.0190352051427665,0.100189150623787,"EOD_vs_LOD",161,"study_6"
"C5",-0.0451259602029412,0.115548667252959,0.15251867748867,0.698571954738041,0.866236356851907,"EOD_vs_LOD",161,"study_6"
"HEXA",0.0742688922364706,0.0483824099043913,2.35634511981411,0.134582471599552,0.356331603612588,"EOD_vs_LOD",161,"study_6"
