"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.286464960285757,0.0748662820670705,14.6409913151451,0.00015704024757058,0.00614364862238807,"EOOD_vs_CN",332,"study_8"
"CXCL16",-0.0223937780671903,0.0496619142273852,0.203332981428265,0.652401553116409,0.839843411176368,"EOOD_vs_CN",332,"study_8"
"NCAN",-0.0191294549393604,0.00968685305660089,3.89977694844746,0.0491707379398258,0.198238987770057,"EOOD_vs_CN",332,"study_8"
"DPP7",0.059732326963541,0.0817086338361868,0.534420327690797,0.465400713609803,0.686250589281121,"EOOD_vs_CN",332,"study_8"
"ICOSLG",-0.108903143207299,0.0563167977271928,3.73942584454776,0.0542512435287353,0.206934383998829,"EOOD_vs_CN",332,"study_8"
"NUCB2",-0.103700248269324,0.0674932754761339,2.36068794341775,0.1256029059799,0.350916890829807,"EOOD_vs_CN",332,"study_8"
"PDGFB",-0.00670561650282608,0.0418942479675619,0.0256193806696016,0.872933353155879,0.937704124722251,"EOOD_vs_CN",332,"study_8"
"AMBP",0.0339432492274752,0.0509331684490601,0.444125223127604,0.505640197224402,0.722181178546959,"EOOD_vs_CN",332,"study_8"
"SPARCL1",-0.0967031619407068,0.0472492335246743,4.18882111081686,0.0416216677864217,0.177939613288259,"EOOD_vs_CN",332,"study_8"
"AXL",-0.00303668623529774,0.0529045831367405,0.00329468006678562,0.954264241317679,0.975708381572009,"EOOD_vs_CN",332,"study_8"
"SPON1",0.0216939342828,0.071597710910305,0.0918075431637899,0.762088003043726,0.888715377261426,"EOOD_vs_CN",332,"study_8"
"SPARC",-0.000839591587422639,0.0174603281316009,0.00231223171880634,0.961681582941373,0.981311927894983,"EOOD_vs_CN",332,"study_8"
"LYVE1",-0.0667737643843536,0.054506919912578,1.50075029595517,0.221488185981577,0.479891069626751,"EOOD_vs_CN",332,"study_8"
"CNDP1",-0.063536758042261,0.0542015773826461,1.37412503228021,0.242152077342943,0.486885744322429,"EOOD_vs_CN",332,"study_8"
"PLTP",0.0874935254618006,0.0528276184876481,2.74302500833753,0.098649132018383,0.303842092273046,"EOOD_vs_CN",332,"study_8"
"OMG",-0.0317977364659932,0.0202140256343531,2.47449617656875,0.116666156653455,0.335223234685823,"EOOD_vs_CN",332,"study_8"
"IGFBP6",-0.0218508195704672,0.0613708919868878,0.126768277950032,0.722063757713523,0.869479420914015,"EOOD_vs_CN",332,"study_8"
"NPPC",-0.0188894720328658,0.0205458972477941,0.845258243868244,0.358717276288872,0.606108501315681,"EOOD_vs_CN",332,"study_8"
"PTN",-0.0338524409469958,0.0275133583913971,1.51388458772277,0.219491472007723,0.479891069626751,"EOOD_vs_CN",332,"study_8"
"DCN",0.0555747145460606,0.0325282398414338,2.91899502185479,0.0887799043401927,0.288434287327323,"EOOD_vs_CN",332,"study_8"
"GALNT2",-0.0236014437109864,0.0419205677139762,0.316973407472522,0.573864364988678,0.76796554726426,"EOOD_vs_CN",332,"study_8"
"CD99L2",-0.0459437644676024,0.0286802821637177,2.56617526334492,0.110287467184713,0.325245910169733,"EOOD_vs_CN",332,"study_8"
"CHI3L1",-0.0364523695358425,0.0173250891255906,4.42690878625099,0.0361722803577083,0.165767932286764,"EOOD_vs_CN",332,"study_8"
"FAM3C",-0.0153529952605655,0.0104136155524325,2.17361764436482,0.141521845238515,0.372907262232352,"EOOD_vs_CN",332,"study_8"
"CRTAC1",-0.131187262853828,0.0749957180692176,3.05992235294809,0.081321045760577,0.275539926327061,"EOOD_vs_CN",332,"study_8"
"CTSH",-0.13370067454913,0.096544467597378,1.91784017888806,0.167220633738479,0.414990384796933,"EOOD_vs_CN",332,"study_8"
"TIMP1",-0.0316176923815457,0.0447477961866019,0.499248808260831,0.480370890088035,0.700220267702697,"EOOD_vs_CN",332,"study_8"
"SELL",0.0710595069500659,0.0606524742257352,1.37261055976745,0.242300018418788,0.486885744322429,"EOOD_vs_CN",332,"study_8"
"TAFA5",-0.0301910499446008,0.0205521134373507,2.15796032885154,0.142833240451977,0.372907262232352,"EOOD_vs_CN",332,"study_8"
"TNFRSF21",-0.0544063088843725,0.0207883119860564,6.84951898410772,0.00938746171239844,0.0766642706512539,"EOOD_vs_CN",332,"study_8"
"IGFBP7",-0.0707717330211484,0.0306013494493009,5.34858010343325,0.0213568452202926,0.119336056187073,"EOOD_vs_CN",332,"study_8"
"SEZ6L2",-0.0298831706178176,0.0284169387817762,1.10585647582865,0.293918550057772,0.550099417560511,"EOOD_vs_CN",332,"study_8"
"KIT",-0.0535571109991766,0.062429525805162,0.735960001771513,0.391608183522371,0.636160529696686,"EOOD_vs_CN",332,"study_8"
"IGFBP2",-0.0934217805857749,0.0464503718429879,4.04499408770508,0.0453802497372496,0.186498187629858,"EOOD_vs_CN",332,"study_8"
"PRELP",-0.0385412901941606,0.0437422164453735,0.7763381480258,0.379228774327238,0.624208602704007,"EOOD_vs_CN",332,"study_8"
"ALCAM",-0.0333221846711584,0.0560832917672398,0.353020512598036,0.552826439134896,0.753984468591938,"EOOD_vs_CN",332,"study_8"
"WFIKKN2",-0.0989499781591991,0.0774474521835359,1.63236447610079,0.202422326017354,0.465119990654204,"EOOD_vs_CN",332,"study_8"
"TGFBI",-0.0321284587775033,0.0622737322089888,0.266176675065877,0.606292500155375,0.794667330450564,"EOOD_vs_CN",332,"study_8"
"DNER",-0.0189952253147307,0.0159809471813471,1.41281034574656,0.235765524261999,0.483600931082964,"EOOD_vs_CN",332,"study_8"
"CDH2",-0.07177257739577,0.0516628346385083,1.93001472212377,0.16578450972287,0.414990384796933,"EOOD_vs_CN",332,"study_8"
"MOG",-0.0346870333680336,0.0230625648088847,2.26213806845072,0.13352783321589,0.368213115837757,"EOOD_vs_CN",332,"study_8"
"COL18A1",0.000260990259854488,0.0558510974623334,2.18366079490453e-05,0.996274826238899,0.996648425696549,"EOOD_vs_CN",332,"study_8"
"RTN4R",-0.143940407507618,0.0403005469225708,12.7568537227233,0.000420645295581649,0.0123296204124135,"EOOD_vs_CN",332,"study_8"
"COCH",0.0785432916378443,0.0860515736876931,0.833106574946369,0.36210121131906,0.61020759685249,"EOOD_vs_CN",332,"study_8"
"CD59",-0.0509063470465279,0.049468604891454,1.05897215952914,0.30433230020891,0.550451744541749,"EOOD_vs_CN",332,"study_8"
"TGFBR3",-0.0579232251428412,0.0652128949471123,0.78893007193034,0.37516077179269,0.621960148586057,"EOOD_vs_CN",332,"study_8"
"CLSTN2",-0.148583007124985,0.0484848755780563,9.39130004997892,0.00238442876782885,0.0330191548936299,"EOOD_vs_CN",332,"study_8"
"APLP1",-0.00963212523503643,0.0272386675625856,0.125046782739689,0.723873853123743,0.870014423471366,"EOOD_vs_CN",332,"study_8"
"BCAN",0.00973073510417422,0.00824588113880216,1.39257039943662,0.238914194211654,0.486224733906785,"EOOD_vs_CN",332,"study_8"
