"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",-0.0666565427954624,0.0708713342509081,0.884594737833611,0.347733624597365,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"CXCL16",-0.0110726557866636,0.0482548773027718,0.0526527631379328,0.818693743617022,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"NCAN",-0.011536608722313,0.00946780202938849,1.48476591777753,0.223986186381167,0.956032120720474,"EOOD_vs_LOOD",322,"study_8"
"DPP7",-0.100931052479148,0.0826819284032626,1.49014458705502,0.223264129757089,0.956032120720474,"EOOD_vs_LOOD",322,"study_8"
"ICOSLG",0.0545463201116201,0.0637778676151184,0.731460577139204,0.393079040325846,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"NUCB2",-0.00668149227445225,0.0715480588174654,0.00872069766817297,0.925661813594749,0.99517890485241,"EOOD_vs_LOOD",322,"study_8"
"PDGFB",-0.0221826458095482,0.053245175411729,0.173566603744403,0.677258688244508,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"AMBP",0.094991127407378,0.0512973377345021,3.42907063792329,0.0650308886909377,0.702209955794577,"EOOD_vs_LOOD",322,"study_8"
"SPARCL1",-0.0412324653760505,0.0482309700719516,0.730847241199287,0.393321921589124,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"AXL",0.00845167486352416,0.0524592135670238,0.025956253763303,0.872115396700427,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"SPON1",0.0143103850821071,0.0673918967050972,0.0450907316108697,0.831982342102198,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"SPARC",-0.00384228311465762,0.0185152815681344,0.043064368463195,0.835743164019996,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"LYVE1",-0.0455203054715327,0.0559549466640555,0.661810058347341,0.416545280357614,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"CNDP1",-0.0918241528627739,0.0526105114385028,3.04627294511054,0.0821645688375181,0.819649185004591,"EOOD_vs_LOOD",322,"study_8"
"PLTP",0.0856914742365753,0.0496487237314243,2.97892144550048,0.0853778435337244,0.819649185004591,"EOOD_vs_LOOD",322,"study_8"
"OMG",-0.00976256126502228,0.0152022834500377,0.412391678319444,0.521431462643894,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"IGFBP6",-0.02996770573845,0.0611017835635869,0.24054659635455,0.624187471596783,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"NPPC",-0.000695010443953592,0.0219440024304717,0.00100311558104322,0.974754936335902,0.99517890485241,"EOOD_vs_LOOD",322,"study_8"
"PTN",0.0255931880866838,0.0314914464396559,0.660485912826429,0.416992739821788,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"DCN",0.0825700283039259,0.029694294160775,7.73212477986897,0.00596284770397658,0.424698254707177,"EOOD_vs_LOOD",322,"study_8"
"GALNT2",0.0685520681208918,0.0460161329992006,2.21932488860464,0.137294371433113,0.888205587396536,"EOOD_vs_LOOD",322,"study_8"
"CD99L2",0.00882244692574474,0.0292274973748816,0.0911160424900438,0.762981092904646,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"CHI3L1",0.0154670806900761,0.0175670914507135,0.775205736999916,0.379291774521947,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"FAM3C",0.00884739539376689,0.009903496294514,0.798093522819952,0.372524522788586,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"CRTAC1",-0.106886652964569,0.0784842029202783,1.85473749532828,0.174256884160611,0.888205587396536,"EOOD_vs_LOOD",322,"study_8"
"CTSH",0.0348386349232195,0.0941634567612981,0.136885508370297,0.711700255603625,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"TIMP1",-0.0699094736920101,0.0442738243928906,2.49331981723983,0.115399600273824,0.869648329208116,"EOOD_vs_LOOD",322,"study_8"
"SELL",0.0234052495348198,0.0629459501429963,0.138258221051439,0.710276509750897,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"TAFA5",0.0132045214272631,0.0188072364057409,0.492941479251912,0.483210951707662,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"TNFRSF21",4.3834790332653e-05,0.0227922221777253,3.6988313316265e-06,0.998466765297328,0.998466765297328,"EOOD_vs_LOOD",322,"study_8"
"IGFBP7",-0.0232568627938434,0.029451825353574,0.623559397084153,0.430320059397977,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"SEZ6L2",0.0463225900101796,0.0308039268936778,2.26137975437614,0.133679817532387,0.888205587396536,"EOOD_vs_LOOD",322,"study_8"
"KIT",-0.0168124769058986,0.061230155427422,0.0753932869561523,0.783826267728803,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"IGFBP2",0.0115989193762474,0.0463895768628562,0.0625164396931653,0.802770082809116,0.98747211664239,"EOOD_vs_LOOD",322,"study_8"
"PRELP",-0.064742601923891,0.0447173163856895,2.09618125750518,0.149017281041318,0.888205587396536,"EOOD_vs_LOOD",322,"study_8"
