"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.35312150308122,0.0686449919201166,26.4624842388401,4.34343254972076e-07,4.61127755695354e-05,"LOOD_vs_CN",380,"study_8"
"CXCL16",-0.0113211222805267,0.0406849550496351,0.0774303605509464,0.780963027946327,0.916157364275894,"LOOD_vs_CN",380,"study_8"
"NCAN",-0.00759284621704737,0.0092025590026457,0.680756797523547,0.409846898029437,0.631942547042288,"LOOD_vs_CN",380,"study_8"
"DPP7",0.160663379442689,0.068910704389914,5.43576179892947,0.0202552754054326,0.100801644009848,"LOOD_vs_CN",380,"study_8"
"ICOSLG",-0.163449463318919,0.0540874345357704,9.13217515641543,0.00270188459845742,0.0260772801396572,"LOOD_vs_CN",380,"study_8"
"NUCB2",-0.0970187559948719,0.0615068015513695,2.48808444473236,0.115573507375366,0.308034829280787,"LOOD_vs_CN",380,"study_8"
"PDGFB",0.0154770293067221,0.0537905959638856,0.0827870672545805,0.773738279318008,0.911037493392922,"LOOD_vs_CN",380,"study_8"
"AMBP",-0.0610478781799029,0.0487056683973719,1.57102151454059,0.210834805222845,0.44916980243128,"LOOD_vs_CN",380,"study_8"
"SPARCL1",-0.0554706965646563,0.0424353247395011,1.70872502145919,0.191950364193832,0.42603617418631,"LOOD_vs_CN",380,"study_8"
"AXL",-0.0114883610988219,0.0502183686530576,0.0523348464654329,0.819172879903244,0.933074804828287,"LOOD_vs_CN",380,"study_8"
"SPON1",0.00738354920069284,0.0677800496212067,0.011866607597754,0.913313261575916,0.963212827191819,"LOOD_vs_CN",380,"study_8"
"SPARC",0.00300269152723498,0.0166719923675257,0.0324374295101859,0.857170046513455,0.947946735467137,"LOOD_vs_CN",380,"study_8"
"LYVE1",-0.0212534589128208,0.0538112292322934,0.155995982484069,0.693094257928772,0.860625813451516,"LOOD_vs_CN",380,"study_8"
"CNDP1",0.0282873948205129,0.0432380800716259,0.428009197227738,0.513366907371875,0.717137543850623,"LOOD_vs_CN",380,"study_8"
"PLTP",0.00180205122522525,0.0506725615531871,0.00126470299314226,0.971650041593714,0.985574962571968,"LOOD_vs_CN",380,"study_8"
"OMG",-0.0220351752009709,0.0169547713650932,1.68907580301164,0.194791436935158,0.42959743105811,"LOOD_vs_CN",380,"study_8"
"IGFBP6",0.00811688616798278,0.0552896343517155,0.0215521933821281,0.883362917565714,0.955351746161901,"LOOD_vs_CN",380,"study_8"
"NPPC",-0.0181944615889122,0.0189792627260395,0.919008951357022,0.338370519257351,0.579875531605744,"LOOD_vs_CN",380,"study_8"
"PTN",-0.0594456290336796,0.0302870794081955,3.85234400406678,0.0504680848334555,0.181145049625645,"LOOD_vs_CN",380,"study_8"
"DCN",-0.0269953137578653,0.0219556843615103,1.51175983155553,0.219723565049515,0.458379917573144,"LOOD_vs_CN",380,"study_8"
