"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.200384512365789,0.101479169341554,3.89919088694309,0.0532870258956427,0.374180324695777,"EODLB_vs_CN",222,"study_9"
"CXCL16",-0.0838812351835534,0.0815652998189977,1.05759346883203,0.309692032318592,0.673106151876123,"EODLB_vs_CN",222,"study_9"
"NCAN",-0.0143621202371715,0.0157026190271756,0.836551973974211,0.365124312680529,0.73107757490791,"EODLB_vs_CN",222,"study_9"
"DPP7",0.156153892992434,0.114196602453946,1.86981769568405,0.178383767043133,0.549543760514509,"EODLB_vs_CN",222,"study_9"
"ICOSLG",-0.0960380850588818,0.098910553020837,0.942761250266134,0.337562900409412,0.704910762619655,"EODLB_vs_CN",222,"study_9"
"NUCB2",-0.217152225428948,0.0968459703066677,5.02765489492776,0.0299016561680243,0.331187943369627,"EODLB_vs_CN",222,"study_9"
"PDGFB",-0.0977532696832237,0.0553959597238813,3.11391249236722,0.0824621893793457,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"AMBP",-0.018198665113158,0.0843948680648461,0.0464993614963341,0.830259436179594,0.964406789958399,"EODLB_vs_CN",222,"study_9"
"SPARCL1",-0.1169165583625,0.0727602004522821,2.58204776300134,0.115247503796457,0.466095917252761,"EODLB_vs_CN",222,"study_9"
"AXL",-0.115933092313488,0.0857927528319476,1.82605407272557,0.183212575736935,0.552230357999535,"EODLB_vs_CN",222,"study_9"
"SPON1",-0.0482544756970396,0.113696763686201,0.180127074924077,0.673126397108893,0.89795796952769,"EODLB_vs_CN",222,"study_9"
"SPARC",0.0218711836138157,0.0255537336456811,0.732547593214013,0.396514893038631,0.758601846262531,"EODLB_vs_CN",222,"study_9"
"LYVE1",-0.141655660904276,0.0904687055016584,2.45172139567693,0.124478911726472,0.482072876322521,"EODLB_vs_CN",222,"study_9"
"CNDP1",0.0107764997065782,0.0722152249823372,0.0222688559333634,0.882022827414179,0.971627406652906,"EODLB_vs_CN",222,"study_9"
"PLTP",-0.0528300772526316,0.0931058613262094,0.32196483988229,0.573258923809781,0.849626457490799,"EODLB_vs_CN",222,"study_9"
"OMG",-0.040421423887171,0.0252957912446336,2.55344600511204,0.114178537239426,0.464713919082758,"EODLB_vs_CN",222,"study_9"
"IGFBP6",-0.0161696180233548,0.106830241851165,0.0229092619513158,0.880428332770173,0.971627406652906,"EODLB_vs_CN",222,"study_9"
"NPPC",-0.0624963570184196,0.0359212709760826,3.02695535806803,0.089635141772989,0.418079237904671,"EODLB_vs_CN",222,"study_9"
"PTN",-0.046028521785197,0.0389637442560491,1.39550914575936,0.242786567747358,0.608394575649262,"EODLB_vs_CN",222,"study_9"
"DCN",-0.0112761715782899,0.0578420253204082,0.0380046177251963,0.846465370180046,0.966437395251063,"EODLB_vs_CN",222,"study_9"
"GALNT2",-0.0931478736203948,0.0764689592391351,1.48380056388279,0.230201987433304,0.602865040860169,"EODLB_vs_CN",222,"study_9"
"CD99L2",-0.109721103842105,0.0469482744679362,5.46186632025258,0.0242428144169608,0.318047240628798,"EODLB_vs_CN",222,"study_9"
"CHI3L1",-0.017818812838815,0.0286382957684048,0.387135673604539,0.53690918222865,0.829835818011204,"EODLB_vs_CN",222,"study_9"
"FAM3C",-0.00859794028092153,0.0191313879167848,0.201974198362454,0.655616385578582,0.887582352509987,"EODLB_vs_CN",222,"study_9"
"CRTAC1",-0.152318740105263,0.118769245802162,1.64474539948715,0.20645392201245,0.583547458536868,"EODLB_vs_CN",222,"study_9"
"CTSH",-0.136883402028947,0.148018727816289,0.855201091151889,0.360149928669701,0.727164212184108,"EODLB_vs_CN",222,"study_9"
"TIMP1",-0.0596894047960532,0.0754292192660168,0.626203183886982,0.433012487370249,0.781264873915942,"EODLB_vs_CN",222,"study_9"
"SELL",0.0868867437819079,0.112575582171902,0.595687710309268,0.444710440181638,0.781264873915942,"EODLB_vs_CN",222,"study_9"
"TAFA5",-0.0693803558740136,0.0299874863201678,5.35294671850979,0.0246912852058427,0.318047240628798,"EODLB_vs_CN",222,"study_9"
"TNFRSF21",-0.0741097632851968,0.035081294856443,4.46271982774174,0.0409224341900207,0.340877682775766,"EODLB_vs_CN",222,"study_9"
"IGFBP7",-0.0639000462039458,0.0430237651601849,2.20589845074631,0.142800768595602,0.507536309221736,"EODLB_vs_CN",222,"study_9"
"SEZ6L2",-0.0688421109779606,0.0530188074206696,1.68596458922964,0.201793494260837,0.579079672377761,"EODLB_vs_CN",222,"study_9"
"KIT",-0.038528719373355,0.104373014671571,0.136267626929254,0.713748762429058,0.915994599322231,"EODLB_vs_CN",222,"study_9"
"IGFBP2",-0.158809031657237,0.0880122650185698,3.25584708596787,0.079256459335905,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"PRELP",0.0846897079082236,0.0587667521339363,2.07681538136634,0.157056752434671,0.526039617111112,"EODLB_vs_CN",222,"study_9"
"ALCAM",-0.123005972995066,0.090314534670667,1.85497091316328,0.179533978087634,0.549543760514509,"EODLB_vs_CN",222,"study_9"
"WFIKKN2",-0.34007939322829,0.12946355146239,6.90026232104295,0.0119999916445194,0.277593348052851,"EODLB_vs_CN",222,"study_9"
"TGFBI",-0.112004587858553,0.113356987184586,0.976281445081001,0.328921183146187,0.691533328180549,"EODLB_vs_CN",222,"study_9"
"DNER",-0.0421488417207243,0.029149197690491,2.09082689317651,0.156534970834275,0.526039617111112,"EODLB_vs_CN",222,"study_9"
"CDH2",-0.197357122324671,0.0798232285117403,6.11289631879607,0.017123316058315,0.280558947724699,"EODLB_vs_CN",222,"study_9"
"MOG",-0.0589605892802627,0.0279987516793407,4.43451668430841,0.0381001648097385,0.340877682775766,"EODLB_vs_CN",222,"study_9"
"COL18A1",0.00163346558421029,0.100942767080919,0.000261860242752394,0.987169386707149,0.990839604159316,"EODLB_vs_CN",222,"study_9"
"RTN4R",-0.168750107669408,0.0690596751904806,5.97088978059282,0.0190802314830045,0.297372388235119,"EODLB_vs_CN",222,"study_9"
"COCH",0.0344041117552631,0.142614664499512,0.058195892136713,0.81048893326054,0.955565223871565,"EODLB_vs_CN",222,"study_9"
"CD59",-0.141773298211513,0.0848342959118598,2.79283942354591,0.102299531320553,0.435796003425557,"EODLB_vs_CN",222,"study_9"
"TGFBR3",-0.0981926448161188,0.112064371064563,0.767755258344049,0.385947703324295,0.751847730647228,"EODLB_vs_CN",222,"study_9"
"CLSTN2",-0.200070766150001,0.0743316212926464,7.24469421295787,0.0099066419531439,0.263764342002456,"EODLB_vs_CN",222,"study_9"
"APLP1",0.0840489446822374,0.0453928424726106,3.42838646532989,0.0707912482032812,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"BCAN",0.0185817444457239,0.0136657187627044,1.84887695067228,0.180982212351632,0.549543760514509,"EODLB_vs_CN",222,"study_9"
"NBL1",0.131851875530921,0.042627521850496,9.56736741009761,0.00341525482373518,0.184974781296634,"EODLB_vs_CN",222,"study_9"
"SOD1",0.00659330255789481,0.0641179937284612,0.0105741669121916,0.918602326757606,0.971627406652906,"EODLB_vs_CN",222,"study_9"
"COL1A1",-0.156787279488158,0.0801664242398368,3.82504565880083,0.0576457408982274,0.393019046051183,"EODLB_vs_CN",222,"study_9"
"DDR1",-0.0233204950019736,0.0697564419445408,0.111765274237292,0.739804847607788,0.924034967784426,"EODLB_vs_CN",222,"study_9"
"TPP1",-0.0583819675296056,0.0803134048744191,0.528422592962008,0.47044691172546,0.791398037293625,"EODLB_vs_CN",222,"study_9"
"KLK6",0.0171595268980269,0.0347831171842135,0.243373686071343,0.62406882547608,0.878126709286359,"EODLB_vs_CN",222,"study_9"
"PCOLCE",-0.0266420759032897,0.103060255947942,0.0668272652763485,0.797348170532002,0.954204219291791,"EODLB_vs_CN",222,"study_9"
"NRCAM",0.00259374857302497,0.0168458073253817,0.0237067539378364,0.878409487755075,0.971627406652906,"EODLB_vs_CN",222,"study_9"
"CNTN2",-0.00413335386743441,0.0162594602867933,0.0646238644272779,0.800396653427856,0.954204219291791,"EODLB_vs_CN",222,"study_9"
"NCAM1",-0.0799922973302625,0.0982597288595696,0.662743102471375,0.420171231592302,0.779386253263689,"EODLB_vs_CN",222,"study_9"
"PTPRS",-0.167931903225658,0.0993735654075898,2.85577952719636,0.0986231505482913,0.435796003425557,"EODLB_vs_CN",222,"study_9"
"RARRES2",-0.0570722305463818,0.0652429638482407,0.765212981333659,0.386570318105968,0.751847730647228,"EODLB_vs_CN",222,"study_9"
"DPP6",-0.0845231939845394,0.0725705773886565,1.35653387387418,0.250779036098197,0.614820200129192,"EODLB_vs_CN",222,"study_9"
"NID2",-0.183656129043092,0.0999080911635065,3.37916602339919,0.0724200028288696,0.416820538173444,"EODLB_vs_CN",222,"study_9"
"CHL1",-0.224164134984211,0.111208417501708,4.06309462496838,0.0504436685845824,0.370500048569519,"EODLB_vs_CN",222,"study_9"
"GFRA2",-0.141421573679605,0.0563089157991108,6.30778672166361,0.0160225745194472,0.277593348052851,"EODLB_vs_CN",222,"study_9"
"VCAN",-0.107357071753619,0.0864043681441922,1.54379602103331,0.220720482229697,0.589812847136581,"EODLB_vs_CN",222,"study_9"
"ENO2",0.00410933630032861,0.0720971710890733,0.00324867989131203,0.954822099857695,0.98091852380879,"EODLB_vs_CN",222,"study_9"
"SEZ6L",-0.0516411327338817,0.0288899048242467,3.19520919609932,0.0816582798023641,0.416820538173444,"EODLB_vs_CN",222,"study_9"
