"Protein","Log2FC","SE","F_value","P_value","FDR","Comparison","N","Study"
"PARK7",0.346241196557348,0.0852892696151608,16.4804357067745,7.52564673719593e-05,0.0048088882650682,"LODLB_vs_CN",267,"study_9"
"CXCL16",0.0209579925412839,0.0541568060657491,0.149759118701961,0.699314440810859,0.886630808885196,"LODLB_vs_CN",267,"study_9"
"NCAN",-0.0224829419762145,0.0132997315939148,2.85772560756987,0.0933021751026082,0.364187316677684,"LODLB_vs_CN",267,"study_9"
"DPP7",0.146365523306152,0.0857280668774724,2.91495274167659,0.0899294760166748,0.364187316677684,"LODLB_vs_CN",267,"study_9"
"ICOSLG",-0.182499995438346,0.0768099638384816,5.64534638791392,0.0192157617953046,0.149742338868288,"LODLB_vs_CN",267,"study_9"
"NUCB2",-0.134979484717908,0.083414252230737,2.618514661797,0.108140451011389,0.390405357041117,"LODLB_vs_CN",267,"study_9"
"PDGFB",0.0499288879884483,0.0832488443252801,0.359705733813476,0.550010894088629,0.811678894509548,"LODLB_vs_CN",267,"study_9"
"AMBP",0.00308386364333546,0.0668776332640383,0.00212631960297883,0.963289712230239,0.97748897835736,"LODLB_vs_CN",267,"study_9"
"SPARCL1",-0.00732502945584468,0.0560947567785179,0.0170519563506212,0.896297759084421,0.963519216668283,"LODLB_vs_CN",267,"study_9"
"AXL",-0.0133355011272052,0.0651141724320998,0.0419437861378156,0.838005586719486,0.939184601732487,"LODLB_vs_CN",267,"study_9"
"SPON1",0.0833291312660287,0.0870400967948527,0.916547501200785,0.339802122814959,0.659980414829053,"LODLB_vs_CN",267,"study_9"
"SPARC",-0.00123169399576195,0.0224198529954118,0.0030181451858474,0.956275867321256,0.97748897835736,"LODLB_vs_CN",267,"study_9"
"LYVE1",-0.0426178717001369,0.0700069705061371,0.370596186984369,0.543676728593599,0.806435021120482,"LODLB_vs_CN",267,"study_9"
"CNDP1",0.00554505143547512,0.0576594026012081,0.00924849106062424,0.923522611104438,0.973612712993135,"LODLB_vs_CN",267,"study_9"
"PLTP",-0.0943611136097744,0.0641301528059303,2.16501827071309,0.143086166655867,0.445983242265744,"LODLB_vs_CN",267,"study_9"
"OMG",-0.0300408721489411,0.0201583067624212,2.22083848241611,0.137420018371046,0.44574310527461,"LODLB_vs_CN",267,"study_9"
"IGFBP6",0.0529246879981553,0.0772085834029505,0.469878360141402,0.494239698695879,0.777879722824302,"LODLB_vs_CN",267,"study_9"
"NPPC",-0.0409185254177711,0.0259840367446515,2.47985738677789,0.117892390257876,0.407206688512339,"LODLB_vs_CN",267,"study_9"
"PTN",-0.117993997541284,0.0367599004301449,10.3031773894961,0.00166051625240344,0.0321885244766319,"LODLB_vs_CN",267,"study_9"
"DCN",-0.0114118120482578,0.0272029108026278,0.175986139894716,0.675295514366252,0.880136790566186,"LODLB_vs_CN",267,"study_9"
"GALNT2",-0.105609852194258,0.0571277467708317,3.41754844567729,0.0668934007813326,0.309745529704866,"LODLB_vs_CN",267,"study_9"
"CD99L2",-0.0589720836602865,0.035254471899791,2.79810829528218,0.0967461488793779,0.370433735912243,"LODLB_vs_CN",267,"study_9"
"CHI3L1",-0.0448020575263151,0.0228594822522362,3.8411665580866,0.0520201762840809,0.264359259773304,"LODLB_vs_CN",267,"study_9"
