"Source","Term_ID","Term_Name","GeneRatio","BgRatio","P_value","FDR","Q_value","Genes","Count","Comparison"
"GO_BP","GO:0050808","synapse organization","58/510","483/18870",8.18312797152565e-22,3.58339173873108e-18,2.65391760844953e-18,"YWHAZ/MAPT/ABL1/PFN2/SYN1/GAP43/SNCG/CFL1/SNCB/ITGAM/ACHE/CAMK2B/MAP1B/PFN1/HSPA8/ADGRL1/CDH8/PLXNA4/PCDHGC5/BDNF/LRFN2/CDH6/CBLN4/NRP1/CX3CL1/TPBG/EFNA5/LRP8/DKK1/NTNG1/ADGRB1/NRXN2/EZR/NRG3/PTPRT/ACTB/FRRS1L/SPOCK2/NPTX1/NRCAM/IGSF21/NEGR1/SHISA7/IGF1R/LRTM2/SLITRK1/CDH9/EPHB2/SEMA3E/AGRN/APP/NECTIN1/NRP2/RELN/NLGN4X/SNCA/SLITRK5/GPR158",58,"EOAD_vs_CN"
"GO_BP","GO:0007409","axonogenesis","49/510","448/18870",7.08496770040378e-17,1.55125367800341e-13,1.148883446576e-13,"MAPT/UCHL1/GDI1/ABL1/GAP43/STMN1/HSP90AA1/MAP1B/EPHA5/SPP1/THY1/S100B/DCC/PLXNA4/TWF2/BDNF/CCK/NRP1/APLP1/EFNA5/NTNG1/ADGRB1/PLXNA2/ACTB/EFNA3/EPHA10/NPTX1/NRCAM/RTN4R/VEGFA/IGF1R/ROBO4/NFASC/LRTM2/SLITRK1/EPHB2/EDN3/FSTL4/PLXNA1/SEMA6D/SEMA3E/B3GNT2/SEMA6B/APP/NECTIN1/NRP2/RELN/SLITRK5/MEGF8",49,"EOAD_vs_CN"
"GO_BP","GO:0010975","regulation of neuron projection development","46/510","453/18870",1.09425305792352e-14,1.59724471354903e-11,1.18294514788153e-11,"MAPT/GDI1/ABL1/PPP3CA/CFL1/YWHAH/CAMK2B/MAP1B/SPP1/THY1/FKBP4/DCC/RTN4RL2/PLXNA4/TWF2/BDNF/NRP1/GFAP/CX3CL1/ITM2C/EFNA5/CNR1/LRP8/DKK1/NTNG1/PTPRG/PLXNA2/RTN4RL1/NRCAM/NEGR1/RTN4R/VEGFA/IGF1R/SFRP1/SLITRK1/EPHB2/CAMK2G/FSTL4/PLXNA1/B2M/GRN/SEMA6D/SEMA3E/SEMA6B/RELN/MEGF8",46,"EOAD_vs_CN"
"GO_BP","GO:0099177","regulation of trans-synaptic signaling","46/510","490/18870",1.94501751478237e-13,2.12930792430799e-10,1.57699972711697e-10,"YWHAG/MAPT/ABL1/PFN2/SYN1/PPP3CA/PPP3R1/CALB2/SNCG/MAPK1/YWHAH/VGF/ACHE/CAMK2B/MAP1B/PFN1/SORCS3/S100B/DCC/PRKAR1B/BDNF/LRFN2/CPLX2/GFAP/CX3CL1/CNR1/LRP8/CAMK2A/DKK1/NTNG1/ADGRB1/SERPINE2/NRG3/FRRS1L/CSPG5/SHISA7/EPHB2/ACE/FABP5/IGSF11/SYT1/APP/RELN/NLGN4X/SNCA/GPR158",46,"EOAD_vs_CN"
"GO_BP","GO:0032535","regulation of cellular component size","39/510","370/18870",3.88389468263394e-13,3.4015149630508e-10,2.51921674046214e-10,"MAPT/GDI1/ABL1/PDXP/PFN2/TMSB10/TMSB4X/AQP4/COTL1/HSP90AA1/CYRIB/MAP1B/SPP1/PFN1/DCC/PLXNA4/TWF2/BDNF/NRP1/CAPG/BIN1/EFNA5/WDR1/NHERF1/EZR/NRCAM/SPTAN1/RTN4R/VEGFA/FSTL4/RDX/MSN/SEMA6D/SEMA3E/GRB2/SEMA6B/CORO1A/CFL2/MEGF8",39,"EOAD_vs_CN"
"GO_BP","GO:0051960","regulation of nervous system development","44/510","466/18870",5.4831799296244e-13,4.00180748530421e-10,2.96380304617066e-10,"MAPT/GDI1/PPP3CA/YWHAH/CAMK2B/MAP1B/SPP1/THY1/DCC/PLXNA4/TWF2/BDNF/TNFRSF1B/NRP1/GFAP/CX3CL1/TPBG/BIN1/EFNA5/LRP8/DKK1/ADGRB1/SERPINE2/PLXNA2/RTN4R/VEGFA/JAM2/LRTM2/SLITRK1/EPHB2/SIRT2/ACE/FSTL4/PLXNA1/B2M/SEMA6D/SEMA3E/LDLR/SEMA6B/AGRN/HAPLN1/RELN/SLITRK5/MEGF8",44,"EOAD_vs_CN"
"GO_BP","GO:0050804","modulation of chemical synaptic transmission","45/510","489/18870",7.27263718409637e-13,4.54955403273685e-10,3.36947295702269e-10,"YWHAG/MAPT/ABL1/PFN2/SYN1/PPP3CA/PPP3R1/CALB2/SNCG/MAPK1/YWHAH/VGF/ACHE/CAMK2B/MAP1B/PFN1/SORCS3/S100B/DCC/PRKAR1B/BDNF/LRFN2/CPLX2/GFAP/CX3CL1/CNR1/LRP8/CAMK2A/DKK1/NTNG1/ADGRB1/SERPINE2/NRG3/FRRS1L/CSPG5/SHISA7/EPHB2/ACE/IGSF11/SYT1/APP/RELN/NLGN4X/SNCA/GPR158",45,"EOAD_vs_CN"
"GO_BP","GO:0034329","cell junction assembly","42/510","446/18870",2.07014749201788e-12,1.13314698344329e-09,8.39226897750935e-10,"ABL1/GAP43/SDC4/ACHE/FSCN1/MAP1B/THY1/CDH8/BDNF/CDH6/CBLN4/NRP1/TPBG/EFNA5/WDR1/F11R/DKK1/ADGRB1/NRXN2/NRG3/ACTB/SPOCK2/NPTX1/NRCAM/NEGR1/VEGFA/CDH22/SFRP1/LRTM2/SLITRK1/CDH9/EPHB2/ACE/CDH18/LSR/AGRN/APP/NECTIN1/NLGN4X/SNCA/CDH7/SLITRK5",42,"EOAD_vs_CN"
"GO_BP","GO:0050767","regulation of neurogenesis","37/510","390/18870",3.61966301458087e-11,1.76116714898329e-08,1.30434874244721e-08,"MAPT/GDI1/PPP3CA/YWHAH/CAMK2B/MAP1B/SPP1/THY1/DCC/PLXNA4/TWF2/BDNF/TNFRSF1B/NRP1/GFAP/CX3CL1/BIN1/EFNA5/LRP8/SERPINE2/PLXNA2/RTN4R/VEGFA/SLITRK1/EPHB2/SIRT2/ACE/FSTL4/PLXNA1/B2M/SEMA6D/SEMA3E/LDLR/SEMA6B/HAPLN1/RELN/MEGF8",37,"EOAD_vs_CN"
"GO_BP","GO:0050803","regulation of synapse structure or activity","29/510","250/18870",4.3216315360766e-11,1.89244244964794e-08,1.40157334343705e-08,"YWHAZ/ABL1/CFL1/CAMK2B/HSPA8/ADGRL1/CDH8/BDNF/LRFN2/TPBG/EFNA5/LRP8/DKK1/ADGRB1/PTPRT/NRCAM/NEGR1/LRTM2/SLITRK1/EPHB2/PPT1/AGRN/APP/NECTIN1/NRP2/RELN/SNCA/SLITRK5/GPR158",29,"EOAD_vs_CN"
"GO_BP","GO:0061387","regulation of extent of cell growth","19/510","109/18870",9.65284450223313e-11,3.84270964320717e-08,2.84597262309859e-08,"MAPT/GDI1/ABL1/MAP1B/SPP1/DCC/PLXNA4/TWF2/BDNF/NRP1/EFNA5/NRCAM/RTN4R/VEGFA/FSTL4/SEMA6D/SEMA3E/SEMA6B/MEGF8",19,"EOAD_vs_CN"
"GO_BP","GO:0050807","regulation of synapse organization","28/510","244/18870",1.21347335206245e-10,4.08753831437038e-08,3.02729667830318e-08,"YWHAZ/ABL1/CFL1/CAMK2B/HSPA8/ADGRL1/CDH8/BDNF/LRFN2/TPBG/EFNA5/LRP8/DKK1/ADGRB1/PTPRT/NRCAM/NEGR1/LRTM2/SLITRK1/EPHB2/AGRN/APP/NECTIN1/NRP2/RELN/SNCA/SLITRK5/GPR158",28,"EOAD_vs_CN"
