"Protein","Module","Module_Name"
"MT3","turquoise","M1_turquoise"
"NFASC","greenyellow","M13_greenyellow"
"ALDOA","yellow","M6_yellow"
"LSAMP","turquoise","M1_turquoise"
"PARK7","yellow","M6_yellow"
"YWHAZ","pink","M5_pink"
"CXCL16","grey","M17_grey"
"SELENBP1","grey","M17_grey"
"PROCR","grey","M17_grey"
"NCAN","turquoise","M1_turquoise"
"NICOL1","turquoise","M1_turquoise"
"DPP7","black","M7_black"
"ICOSLG","turquoise","M1_turquoise"
"PAPLN","grey","M17_grey"
"FOLR2","turquoise","M1_turquoise"
"GC","blue","M2_blue"
"HBA1","purple","M15_purple"
"IGLV3-19","brown","M4_brown"
"FBLN5","tan","M3_tan"
"LAMP2","greenyellow","M13_greenyellow"
"NUCB2","magenta","M8_magenta"
"PDGFB","turquoise","M1_turquoise"
"ITIH2","blue","M2_blue"
"CSF1R","grey","M17_grey"
"PGLYRP2","blue","M2_blue"
"IGHM","blue","M2_blue"
"LAMA2","tan","M3_tan"
"APLP2","green","M11_green"
"AGA","black","M7_black"
"CFI","blue","M2_blue"
"CD44","grey","M17_grey"
"IGSF8","turquoise","M1_turquoise"
"CNTNAP4","red","M9_red"
"C1QC","tan","M3_tan"
"C1R","tan","M3_tan"
"CPN2","blue","M2_blue"
"AMBP","blue","M2_blue"
"C5","blue","M2_blue"
"HEXA","black","M7_black"
"DBI","yellow","M6_yellow"
"C1QA","tan","M3_tan"
"NRXN3","midnightblue","M12_midnightblue"
"IGHV3-30","brown","M4_brown"
"C6","blue","M2_blue"
"CLEC3B","grey","M17_grey"
"SPARCL1","turquoise","M1_turquoise"
"GAP43","yellow","M6_yellow"
"MCAM","midnightblue","M12_midnightblue"
"SCG2","turquoise","M1_turquoise"
"LMAN1","turquoise","M1_turquoise"
"HBD","purple","M15_purple"
"ADGRB2","turquoise","M1_turquoise"
"LTBP4","tan","M3_tan"
"IGHG3","brown","M4_brown"
"PON1","blue","M2_blue"
"AXL","green","M11_green"
"CADM1","turquoise","M1_turquoise"
"APOD","blue","M2_blue"
"SPON1","yellow","M6_yellow"
"MGAT1","grey","M17_grey"
"SERPINF2","blue","M2_blue"
"CP","blue","M2_blue"
"PCSK1","turquoise","M1_turquoise"
"CPB2","blue","M2_blue"
"SPARC","magenta","M8_magenta"
"LYVE1","turquoise","M1_turquoise"
